review,sentiment,cleaned_review,review_length
Absolutely fantastic! Best product I've bought. So fantastic.,1,absolutely fantastic best product ive bought fantastic,7
awesome experience! The product is brilliant and works perfectly.,1,awesome experience product brilliant work perfectly,6
Fantastic product! perfect and excellent. Worth every penny.,1,fantastic product perfect excellent worth every penny,7
Impressive! Very perfect and fantastic design.,1,impressive perfect fantastic design,4
Outstanding! The quality is great and fantastic.,1,outstanding quality great fantastic,4
Terrible! The quality is defective and terrible.,0,terrible quality defective terrible,4
Awful! Not what I expected. useless and unsatisfactory.,0,awful expected useless unsatisfactory,4
Hate it! defective quality and unsatisfactory service.,0,hate defective quality unsatisfactory service,5
Impressive! Very amazing and great design.,1,impressive amazing great design,4
worthless purchase. Completely defective. Not recommended.,0,worthless purchase completely defective recommended,5
This product is okay. It's average but nothing special.,1,product okay average nothing special,5
It's fine. moderate for the price.,1,fine moderate price,3
Absolutely worthless! Worst product ever. So terrible.,0,absolutely worthless worst product ever terrible,6
Outstanding! The quality is fantastic and superb.,1,outstanding quality fantastic superb,4
Outstanding! The quality is excellent and superb.,1,outstanding quality excellent superb,4
This product is useless. Very disappointing quality.,0,product useless disappointing quality,4
This product is okay. It's fair but nothing special.,1,product okay fair nothing special,5
disappointing purchase. Completely awful. Not recommended.,0,disappointing purchase completely awful recommended,5
It's fine. standard for the price.,0,fine standard price,3
Horrible product! awful and awful. Waste of money.,0,horrible product awful awful waste money,6
Poor quality! Below expectations. terrible and worthless.,0,poor quality expectation terrible worthless,5
excellent experience! The product is wonderful and works perfectly.,1,excellent experience product wonderful work perfectly,6
Disappointing! Very unsatisfactory and worthless design.,0,disappointing unsatisfactory worthless design,4
Absolutely awful! Worst product ever. So terrible.,0,absolutely awful worst product ever terrible,6
Perfect! Exactly what I needed. wonderful and awesome.,1,perfect exactly needed wonderful awesome,5
Acceptable product. moderate but could be better.,0,acceptable product moderate could better,5
Poor quality! Below expectations. awful and defective.,0,poor quality expectation awful defective,5
Average quality. decent but not great.,0,average quality decent great,4
Acceptable product. standard but could be better.,1,acceptable product standard could better,5
Fantastic product! excellent and great. Worth every penny.,1,fantastic product excellent great worth every penny,7
This product is poor. Very disappointing quality.,0,product poor disappointing quality,4
It's fine. average for the price.,1,fine average price,3
Absolutely horrible! Worst product ever. So awful.,0,absolutely horrible worst product ever awful,6
Awful! Not what I expected. disappointing and horrible.,0,awful expected disappointing horrible,4
Absolutely great! Best product I've bought. So excellent.,1,absolutely great best product ive bought excellent,7
Average quality. standard but not great.,1,average quality standard great,4
Terrible! The quality is worthless and disappointing.,0,terrible quality worthless disappointing,4
Outstanding! The quality is fantastic and superb.,1,outstanding quality fantastic superb,4
Horrible product! terrible and useless. Waste of money.,0,horrible product terrible useless waste money,6
Poor quality! Below expectations. poor and awful.,0,poor quality expectation poor awful,5
Perfect! Exactly what I needed. perfect and fantastic.,1,perfect exactly needed perfect fantastic,5
Fantastic product! awesome and perfect. Worth every penny.,1,fantastic product awesome perfect worth every penny,7
This product is unsatisfactory. Very useless quality.,0,product unsatisfactory useless quality,4
worthless experience! The product is unsatisfactory and doesn't work.,0,worthless experience product unsatisfactory doesnt work,6
Love it! superb quality and excellent service.,1,love superb quality excellent service,5
useless purchase. Completely bad. Not recommended.,0,useless purchase completely bad recommended,5
Impressive! Very superb and awesome design.,1,impressive superb awesome design,4
Fantastic product! outstanding and outstanding. Worth every penny.,1,fantastic product outstanding outstanding worth every penny,7
Absolutely useless! Worst product ever. So unsatisfactory.,0,absolutely useless worst product ever unsatisfactory,6
This product is okay. It's moderate but nothing special.,1,product okay moderate nothing special,5
Absolutely great! Best product I've bought. So superb.,1,absolutely great best product ive bought superb,7
This product is okay. It's okay but nothing special.,0,product okay okay nothing special,5
Awful! Not what I expected. poor and poor.,0,awful expected poor poor,4
excellent purchase! Highly recommend. Very perfect.,1,excellent purchase highly recommend perfect,5
Disappointing! Very defective and poor design.,0,disappointing defective poor design,4
Fantastic product! great and brilliant. Worth every penny.,1,fantastic product great brilliant worth every penny,7
Impressive! Very brilliant and wonderful design.,1,impressive brilliant wonderful design,4
This product is disappointing. Very terrible quality.,0,product disappointing terrible quality,4
Terrible! The quality is horrible and bad.,0,terrible quality horrible bad,4
Acceptable product. standard but could be better.,0,acceptable product standard could better,5
Terrible! The quality is defective and unsatisfactory.,0,terrible quality defective unsatisfactory,4
superb experience! The product is excellent and works perfectly.,1,superb experience product excellent work perfectly,6
Absolutely terrible! Worst product ever. So horrible.,0,absolutely terrible worst product ever horrible,6
This product is awful. Very terrible quality.,0,product awful terrible quality,4
Terrible! The quality is poor and horrible.,0,terrible quality poor horrible,4
This product is defective. Very unsatisfactory quality.,0,product defective unsatisfactory quality,4
Perfect! Exactly what I needed. excellent and amazing.,1,perfect exactly needed excellent amazing,5
Perfect! Exactly what I needed. outstanding and excellent.,1,perfect exactly needed outstanding excellent,5
brilliant purchase! Highly recommend. Very outstanding.,1,brilliant purchase highly recommend outstanding,5
Awful! Not what I expected. terrible and defective.,0,awful expected terrible defective,4
This product is poor. Very unsatisfactory quality.,0,product poor unsatisfactory quality,4
poor experience! The product is unsatisfactory and doesn't work.,0,poor experience product unsatisfactory doesnt work,6
Awful! Not what I expected. terrible and worthless.,0,awful expected terrible worthless,4
Absolutely wonderful! Best product I've bought. So great.,1,absolutely wonderful best product ive bought great,7
Excellent! Exceeded expectations. wonderful and brilliant.,1,excellent exceeded expectation wonderful brilliant,5
Love it! fantastic quality and fantastic service.,1,love fantastic quality fantastic service,5
Disappointing! Very useless and useless design.,0,disappointing useless useless design,4
Absolutely wonderful! Best product I've bought. So amazing.,1,absolutely wonderful best product ive bought amazing,7
Disappointing! Very poor and terrible design.,0,disappointing poor terrible design,4
It's fine. average for the price.,1,fine average price,3
Absolutely awful! Worst product ever. So unsatisfactory.,0,absolutely awful worst product ever unsatisfactory,6
poor purchase. Completely worthless. Not recommended.,0,poor purchase completely worthless recommended,5
okay product. Does the job. Nothing more.,0,okay product job nothing,4
useless experience! The product is horrible and doesn't work.,0,useless experience product horrible doesnt work,6
brilliant experience! The product is perfect and works perfectly.,1,brilliant experience product perfect work perfectly,6
Horrible product! worthless and worthless. Waste of money.,0,horrible product worthless worthless waste money,6
Terrible! The quality is unsatisfactory and defective.,0,terrible quality unsatisfactory defective,4
Hate it! disappointing quality and useless service.,0,hate disappointing quality useless service,5
Absolutely perfect! Best product I've bought. So amazing.,1,absolutely perfect best product ive bought amazing,7
Terrible! The quality is disappointing and awful.,0,terrible quality disappointing awful,4
Acceptable product. fair but could be better.,1,acceptable product fair could better,5
This product is brilliant! wonderful quality and great value.,1,product brilliant wonderful quality great value,6
unsatisfactory experience! The product is terrible and doesn't work.,0,unsatisfactory experience product terrible doesnt work,6
Love it! awesome quality and amazing service.,1,love awesome quality amazing service,5
Absolutely awful! Worst product ever. So terrible.,0,absolutely awful worst product ever terrible,6
Impressive! Very excellent and outstanding design.,1,impressive excellent outstanding design,4
standard product. Does the job. Nothing more.,1,standard product job nothing,4
Absolutely bad! Worst product ever. So bad.,0,absolutely bad worst product ever bad,6
average product. Does the job. Nothing more.,0,average product job nothing,4
Awful! Not what I expected. useless and awful.,0,awful expected useless awful,4
unsatisfactory experience! The product is useless and doesn't work.,0,unsatisfactory experience product useless doesnt work,6
Outstanding! The quality is brilliant and great.,1,outstanding quality brilliant great,4
Fantastic product! fantastic and superb. Worth every penny.,1,fantastic product fantastic superb worth every penny,7
Horrible product! horrible and unsatisfactory. Waste of money.,0,horrible product horrible unsatisfactory waste money,6
Absolutely worthless! Worst product ever. So worthless.,0,absolutely worthless worst product ever worthless,6
This product is perfect! outstanding quality and great value.,1,product perfect outstanding quality great value,6
It's fine. standard for the price.,0,fine standard price,3
Poor quality! Below expectations. poor and defective.,0,poor quality expectation poor defective,5
Love it! perfect quality and brilliant service.,1,love perfect quality brilliant service,5
Acceptable product. okay but could be better.,1,acceptable product okay could better,5
This product is okay. It's fair but nothing special.,1,product okay fair nothing special,5
Terrible! The quality is useless and defective.,0,terrible quality useless defective,4
Perfect! Exactly what I needed. great and great.,1,perfect exactly needed great great,5
Acceptable product. moderate but could be better.,1,acceptable product moderate could better,5
bad experience! The product is poor and doesn't work.,0,bad experience product poor doesnt work,6
Terrible! The quality is horrible and defective.,0,terrible quality horrible defective,4
This product is worthless. Very worthless quality.,0,product worthless worthless quality,4
Love it! outstanding quality and great service.,1,love outstanding quality great service,5
Poor quality! Below expectations. disappointing and bad.,0,poor quality expectation disappointing bad,5
Love it! fantastic quality and wonderful service.,1,love fantastic quality wonderful service,5
It's fine. fair for the price.,0,fine fair price,3
Horrible product! poor and useless. Waste of money.,0,horrible product poor useless waste money,6
Average quality. fair but not unsatisfactory.,0,average quality fair unsatisfactory,4
Outstanding! The quality is wonderful and superb.,1,outstanding quality wonderful superb,4
Fantastic product! amazing and perfect. Worth every penny.,1,fantastic product amazing perfect worth every penny,7
This product is wonderful! perfect quality and great value.,1,product wonderful perfect quality great value,6
Horrible product! disappointing and disappointing. Waste of money.,0,horrible product disappointing disappointing waste money,6
defective purchase. Completely terrible. Not recommended.,0,defective purchase completely terrible recommended,5
Horrible product! worthless and awful. Waste of money.,0,horrible product worthless awful waste money,6
This product is fantastic! great quality and great value.,1,product fantastic great quality great value,6
This product is brilliant! wonderful quality and great value.,1,product brilliant wonderful quality great value,6
Hate it! disappointing quality and disappointing service.,0,hate disappointing quality disappointing service,5
Perfect! Exactly what I needed. perfect and brilliant.,1,perfect exactly needed perfect brilliant,5
Outstanding! The quality is fantastic and fantastic.,1,outstanding quality fantastic fantastic,4
Average quality. average but not awful.,1,average quality average awful,4
Absolutely amazing! Best product I've bought. So excellent.,1,absolutely amazing best product ive bought excellent,7
Acceptable product. average but could be better.,0,acceptable product average could better,5
Love it! awesome quality and perfect service.,1,love awesome quality perfect service,5
Impressive! Very excellent and awesome design.,1,impressive excellent awesome design,4
Disappointing! Very bad and unsatisfactory design.,0,disappointing bad unsatisfactory design,4
Absolutely disappointing! Worst product ever. So useless.,0,absolutely disappointing worst product ever useless,6
awesome purchase! Highly recommend. Very brilliant.,1,awesome purchase highly recommend brilliant,5
Average quality. average but not fantastic.,0,average quality average fantastic,4
useless purchase. Completely awful. Not recommended.,0,useless purchase completely awful recommended,5
disappointing purchase. Completely disappointing. Not recommended.,0,disappointing purchase completely disappointing recommended,5
Poor quality! Below expectations. poor and awful.,0,poor quality expectation poor awful,5
Disappointing! Very horrible and bad design.,0,disappointing horrible bad design,4
Outstanding! The quality is amazing and amazing.,1,outstanding quality amazing amazing,4
Horrible product! poor and worthless. Waste of money.,0,horrible product poor worthless waste money,6
Horrible product! worthless and disappointing. Waste of money.,0,horrible product worthless disappointing waste money,6
terrible purchase. Completely horrible. Not recommended.,0,terrible purchase completely horrible recommended,5
Awful! Not what I expected. useless and bad.,0,awful expected useless bad,4
Poor quality! Below expectations. bad and worthless.,0,poor quality expectation bad worthless,5
perfect purchase! Highly recommend. Very perfect.,1,perfect purchase highly recommend perfect,5
Absolutely wonderful! Best product I've bought. So great.,1,absolutely wonderful best product ive bought great,7
Excellent! Exceeded expectations. superb and perfect.,1,excellent exceeded expectation superb perfect,5
Impressive! Very excellent and awesome design.,1,impressive excellent awesome design,4
Absolutely unsatisfactory! Worst product ever. So awful.,0,absolutely unsatisfactory worst product ever awful,6
Disappointing! Very disappointing and horrible design.,0,disappointing disappointing horrible design,4
This product is awful. Very unsatisfactory quality.,0,product awful unsatisfactory quality,4
This product is horrible. Very useless quality.,0,product horrible useless quality,4
brilliant experience! The product is brilliant and works perfectly.,1,brilliant experience product brilliant work perfectly,6
average product. Does the job. Nothing more.,1,average product job nothing,4
Awful! Not what I expected. awful and awful.,0,awful expected awful awful,4
This product is perfect! brilliant quality and great value.,1,product perfect brilliant quality great value,6
Perfect! Exactly what I needed. fantastic and superb.,1,perfect exactly needed fantastic superb,5
Hate it! horrible quality and poor service.,0,hate horrible quality poor service,5
perfect purchase! Highly recommend. Very excellent.,1,perfect purchase highly recommend excellent,5
Excellent! Exceeded expectations. great and excellent.,1,excellent exceeded expectation great excellent,5
Horrible product! defective and awful. Waste of money.,0,horrible product defective awful waste money,6
Poor quality! Below expectations. bad and useless.,0,poor quality expectation bad useless,5
This product is okay. It's decent but nothing special.,1,product okay decent nothing special,5
Perfect! Exactly what I needed. perfect and awesome.,1,perfect exactly needed perfect awesome,5
Love it! fantastic quality and outstanding service.,1,love fantastic quality outstanding service,5
Love it! superb quality and fantastic service.,1,love superb quality fantastic service,5
Outstanding! The quality is outstanding and superb.,1,outstanding quality outstanding superb,4
Hate it! useless quality and disappointing service.,0,hate useless quality disappointing service,5
This product is okay. It's moderate but nothing special.,1,product okay moderate nothing special,5
Impressive! Very excellent and wonderful design.,1,impressive excellent wonderful design,4
Average quality. average but not amazing.,0,average quality average amazing,4
wonderful purchase! Highly recommend. Very wonderful.,1,wonderful purchase highly recommend wonderful,5
terrible experience! The product is terrible and doesn't work.,0,terrible experience product terrible doesnt work,6
Terrible! The quality is defective and horrible.,0,terrible quality defective horrible,4
Fantastic product! awesome and awesome. Worth every penny.,1,fantastic product awesome awesome worth every penny,7
Fantastic product! superb and brilliant. Worth every penny.,1,fantastic product superb brilliant worth every penny,7
Perfect! Exactly what I needed. perfect and fantastic.,1,perfect exactly needed perfect fantastic,5
Impressive! Very excellent and outstanding design.,1,impressive excellent outstanding design,4
Impressive! Very excellent and awesome design.,1,impressive excellent awesome design,4
This product is okay. It's okay but nothing special.,0,product okay okay nothing special,5
Excellent! Exceeded expectations. fantastic and fantastic.,1,excellent exceeded expectation fantastic fantastic,5
Terrible! The quality is awful and bad.,0,terrible quality awful bad,4
Excellent! Exceeded expectations. superb and fantastic.,1,excellent exceeded expectation superb fantastic,5
amazing purchase! Highly recommend. Very brilliant.,1,amazing purchase highly recommend brilliant,5
Average quality. standard but not amazing.,0,average quality standard amazing,4
Average quality. acceptable but not brilliant.,1,average quality acceptable brilliant,4
useless experience! The product is defective and doesn't work.,0,useless experience product defective doesnt work,6
This product is okay. It's okay but nothing special.,0,product okay okay nothing special,5
This product is unsatisfactory. Very bad quality.,0,product unsatisfactory bad quality,4
Terrible! The quality is worthless and poor.,0,terrible quality worthless poor,4
Disappointing! Very terrible and worthless design.,0,disappointing terrible worthless design,4
Terrible! The quality is awful and disappointing.,0,terrible quality awful disappointing,4
Perfect! Exactly what I needed. fantastic and wonderful.,1,perfect exactly needed fantastic wonderful,5
Love it! amazing quality and amazing service.,1,love amazing quality amazing service,5
perfect purchase! Highly recommend. Very amazing.,1,perfect purchase highly recommend amazing,5
Disappointing! Very terrible and worthless design.,0,disappointing terrible worthless design,4
Average quality. average but not disappointing.,1,average quality average disappointing,4
standard product. Does the job. Nothing more.,1,standard product job nothing,4
It's fine. moderate for the price.,0,fine moderate price,3
Excellent! Exceeded expectations. fantastic and amazing.,1,excellent exceeded expectation fantastic amazing,5
unsatisfactory purchase. Completely disappointing. Not recommended.,0,unsatisfactory purchase completely disappointing recommended,5
This product is brilliant! wonderful quality and great value.,1,product brilliant wonderful quality great value,6
Horrible product! useless and horrible. Waste of money.,0,horrible product useless horrible waste money,6
Love it! wonderful quality and brilliant service.,1,love wonderful quality brilliant service,5
Outstanding! The quality is great and amazing.,1,outstanding quality great amazing,4
awesome experience! The product is excellent and works perfectly.,1,awesome experience product excellent work perfectly,6
moderate product. Does the job. Nothing more.,1,moderate product job nothing,4
Excellent! Exceeded expectations. brilliant and brilliant.,1,excellent exceeded expectation brilliant brilliant,5
Excellent! Exceeded expectations. great and great.,1,excellent exceeded expectation great great,5
This product is wonderful! great quality and great value.,1,product wonderful great quality great value,6
Hate it! worthless quality and terrible service.,0,hate worthless quality terrible service,5
Absolutely awesome! Best product I've bought. So excellent.,1,absolutely awesome best product ive bought excellent,7
Absolutely amazing! Best product I've bought. So amazing.,1,absolutely amazing best product ive bought amazing,7
Fantastic product! brilliant and awesome. Worth every penny.,1,fantastic product brilliant awesome worth every penny,7
Perfect! Exactly what I needed. fantastic and fantastic.,1,perfect exactly needed fantastic fantastic,5
Disappointing! Very unsatisfactory and poor design.,0,disappointing unsatisfactory poor design,4
Absolutely excellent! Best product I've bought. So fantastic.,1,absolutely excellent best product ive bought fantastic,7
This product is okay. It's acceptable but nothing special.,1,product okay acceptable nothing special,5
outstanding experience! The product is wonderful and works perfectly.,1,outstanding experience product wonderful work perfectly,6
Fantastic product! superb and great. Worth every penny.,1,fantastic product superb great worth every penny,7
It's fine. standard for the price.,1,fine standard price,3
It's fine. average for the price.,0,fine average price,3
awful purchase. Completely disappointing. Not recommended.,0,awful purchase completely disappointing recommended,5
poor experience! The product is worthless and doesn't work.,0,poor experience product worthless doesnt work,6
defective experience! The product is disappointing and doesn't work.,0,defective experience product disappointing doesnt work,6
This product is okay. It's average but nothing special.,0,product okay average nothing special,5
Outstanding! The quality is amazing and wonderful.,1,outstanding quality amazing wonderful,4
Acceptable product. fair but could be better.,0,acceptable product fair could better,5
This product is okay. It's fair but nothing special.,0,product okay fair nothing special,5
Love it! fantastic quality and perfect service.,1,love fantastic quality perfect service,5
This product is superb! awesome quality and great value.,1,product superb awesome quality great value,6
amazing purchase! Highly recommend. Very superb.,1,amazing purchase highly recommend superb,5
Impressive! Very excellent and perfect design.,1,impressive excellent perfect design,4
This product is defective. Very worthless quality.,0,product defective worthless quality,4
Acceptable product. okay but could be better.,0,acceptable product okay could better,5
This product is brilliant! outstanding quality and great value.,1,product brilliant outstanding quality great value,6
Awful! Not what I expected. horrible and horrible.,0,awful expected horrible horrible,4
Terrible! The quality is disappointing and useless.,0,terrible quality disappointing useless,4
worthless experience! The product is horrible and doesn't work.,0,worthless experience product horrible doesnt work,6
Love it! outstanding quality and great service.,1,love outstanding quality great service,5
Perfect! Exactly what I needed. brilliant and amazing.,1,perfect exactly needed brilliant amazing,5
Terrible! The quality is useless and terrible.,0,terrible quality useless terrible,4
Excellent! Exceeded expectations. awesome and perfect.,1,excellent exceeded expectation awesome perfect,5
bad purchase. Completely horrible. Not recommended.,0,bad purchase completely horrible recommended,5
This product is horrible. Very awful quality.,0,product horrible awful quality,4
awful experience! The product is awful and doesn't work.,0,awful experience product awful doesnt work,6
Perfect! Exactly what I needed. superb and excellent.,1,perfect exactly needed superb excellent,5
Average quality. standard but not worthless.,1,average quality standard worthless,4
Absolutely disappointing! Worst product ever. So disappointing.,0,absolutely disappointing worst product ever disappointing,6
Disappointing! Very horrible and unsatisfactory design.,0,disappointing horrible unsatisfactory design,4
Love it! amazing quality and awesome service.,1,love amazing quality awesome service,5
Absolutely outstanding! Best product I've bought. So outstanding.,1,absolutely outstanding best product ive bought outstanding,7
This product is horrible. Very horrible quality.,0,product horrible horrible quality,4
Awful! Not what I expected. awful and bad.,0,awful expected awful bad,4
Awful! Not what I expected. defective and unsatisfactory.,0,awful expected defective unsatisfactory,4
Absolutely poor! Worst product ever. So disappointing.,0,absolutely poor worst product ever disappointing,6
This product is fantastic! great quality and great value.,1,product fantastic great quality great value,6
Awful! Not what I expected. worthless and useless.,0,awful expected worthless useless,4
It's fine. moderate for the price.,0,fine moderate price,3
Poor quality! Below expectations. bad and awful.,0,poor quality expectation bad awful,5
brilliant experience! The product is outstanding and works perfectly.,1,brilliant experience product outstanding work perfectly,6
Absolutely perfect! Best product I've bought. So excellent.,1,absolutely perfect best product ive bought excellent,7
awful purchase. Completely useless. Not recommended.,0,awful purchase completely useless recommended,5
Excellent! Exceeded expectations. wonderful and amazing.,1,excellent exceeded expectation wonderful amazing,5
Absolutely perfect! Best product I've bought. So amazing.,1,absolutely perfect best product ive bought amazing,7
Average quality. acceptable but not brilliant.,1,average quality acceptable brilliant,4
Terrible! The quality is awful and terrible.,0,terrible quality awful terrible,4
poor purchase. Completely disappointing. Not recommended.,0,poor purchase completely disappointing recommended,5
This product is disappointing. Very disappointing quality.,0,product disappointing disappointing quality,4
Terrible! The quality is worthless and poor.,0,terrible quality worthless poor,4
Acceptable product. decent but could be better.,1,acceptable product decent could better,5
Absolutely brilliant! Best product I've bought. So fantastic.,1,absolutely brilliant best product ive bought fantastic,7
Love it! brilliant quality and wonderful service.,1,love brilliant quality wonderful service,5
Acceptable product. standard but could be better.,1,acceptable product standard could better,5
wonderful purchase! Highly recommend. Very outstanding.,1,wonderful purchase highly recommend outstanding,5
Awful! Not what I expected. awful and bad.,0,awful expected awful bad,4
This product is okay. It's okay but nothing special.,0,product okay okay nothing special,5
Love it! fantastic quality and fantastic service.,1,love fantastic quality fantastic service,5
defective purchase. Completely terrible. Not recommended.,0,defective purchase completely terrible recommended,5
Impressive! Very wonderful and outstanding design.,1,impressive wonderful outstanding design,4
Excellent! Exceeded expectations. brilliant and great.,1,excellent exceeded expectation brilliant great,5
Average quality. standard but not awesome.,1,average quality standard awesome,4
awesome purchase! Highly recommend. Very excellent.,1,awesome purchase highly recommend excellent,5
Horrible product! horrible and worthless. Waste of money.,0,horrible product horrible worthless waste money,6
This product is okay. It's acceptable but nothing special.,1,product okay acceptable nothing special,5
Outstanding! The quality is excellent and great.,1,outstanding quality excellent great,4
This product is okay. It's decent but nothing special.,0,product okay decent nothing special,5
Love it! perfect quality and great service.,1,love perfect quality great service,5
This product is okay. It's decent but nothing special.,0,product okay decent nothing special,5
Awful! Not what I expected. unsatisfactory and terrible.,0,awful expected unsatisfactory terrible,4
This product is okay. It's decent but nothing special.,1,product okay decent nothing special,5
Awful! Not what I expected. worthless and bad.,0,awful expected worthless bad,4
Absolutely useless! Worst product ever. So terrible.,0,absolutely useless worst product ever terrible,6
superb purchase! Highly recommend. Very amazing.,1,superb purchase highly recommend amazing,5
Outstanding! The quality is outstanding and superb.,1,outstanding quality outstanding superb,4
brilliant experience! The product is excellent and works perfectly.,1,brilliant experience product excellent work perfectly,6
Poor quality! Below expectations. worthless and disappointing.,0,poor quality expectation worthless disappointing,5
This product is bad. Very defective quality.,0,product bad defective quality,4
Horrible product! bad and poor. Waste of money.,0,horrible product bad poor waste money,6
This product is worthless. Very useless quality.,0,product worthless useless quality,4
Perfect! Exactly what I needed. awesome and superb.,1,perfect exactly needed awesome superb,5
Impressive! Very amazing and excellent design.,1,impressive amazing excellent design,4
Disappointing! Very bad and defective design.,0,disappointing bad defective design,4
Hate it! terrible quality and awful service.,0,hate terrible quality awful service,5
Absolutely great! Best product I've bought. So superb.,1,absolutely great best product ive bought superb,7
Terrible! The quality is poor and terrible.,0,terrible quality poor terrible,4
Hate it! bad quality and disappointing service.,0,hate bad quality disappointing service,5
Absolutely worthless! Worst product ever. So horrible.,0,absolutely worthless worst product ever horrible,6
Fantastic product! amazing and wonderful. Worth every penny.,1,fantastic product amazing wonderful worth every penny,7
This product is disappointing. Very worthless quality.,0,product disappointing worthless quality,4
Perfect! Exactly what I needed. brilliant and awesome.,1,perfect exactly needed brilliant awesome,5
Absolutely useless! Worst product ever. So unsatisfactory.,0,absolutely useless worst product ever unsatisfactory,6
Fantastic product! excellent and superb. Worth every penny.,1,fantastic product excellent superb worth every penny,7
Love it! perfect quality and outstanding service.,1,love perfect quality outstanding service,5
Impressive! Very brilliant and superb design.,1,impressive brilliant superb design,4
This product is okay. It's fair but nothing special.,1,product okay fair nothing special,5
Disappointing! Very horrible and terrible design.,0,disappointing horrible terrible design,4
