review_id,transaction_id,user_id,product_id,rating,review_text,review_date,helpful_votes,cleaned_text,sentiment,sentiment_binary
R000061,T004668,U01150,P00310,5,Excellent product! Highly recommended.,2025-03-09 17:58:03.521103,36,excellent product highly recommended,2,1
R000062,T000913,U03163,P00321,3,"Average quality, nothing special.",2025-08-27 07:43:58.521103,34,average quality nothing special,1,0
R000063,T030974,U03441,P00222,5,Best purchase I've made this year!,2025-02-25 18:11:48.521103,25,best purchase ive made year,2,1
R000064,T000709,U00585,P00926,3,"Average quality, nothing special.",2025-02-01 10:32:06.521103,58,average quality nothing special,1,0
R000065,T017771,U02355,P00658,2,Disappointed with this purchase.,2025-07-23 22:18:34.521103,2,disappointed purchase,0,0
R000066,T006748,U00563,P00424,5,Very satisfied with this purchase.,2025-06-05 04:32:24.521103,46,satisfied purchase,2,1
R000067,T017691,U02040,P00855,1,Disappointed with this purchase.,2024-12-08 22:52:21.521103,13,disappointed purchase,0,0
R000068,T032609,U03569,P00080,4,"Great quality, exactly what I needed.",2025-02-22 11:22:32.521103,11,great quality exactly needed,2,1
R000069,T031273,U00542,P00258,2,Did not meet my expectations.,2025-03-13 19:16:32.521103,87,meet expectation,0,0
R000070,T022475,U04344,P00155,5,Very satisfied with this purchase.,2025-05-16 19:09:55.521103,47,satisfied purchase,2,1
R000071,T047709,U04836,P00918,3,"Product is okay, meets basic expectations.",2025-10-21 13:21:09.521103,44,product okay meet basic expectation,1,0
R000072,T024559,U02525,P00186,5,Very satisfied with this purchase.,2025-06-02 05:29:48.521103,10,satisfied purchase,2,1
R000073,T021368,U00532,P00345,4,"Outstanding product, worth every penny.",2025-04-20 11:17:13.521103,12,outstanding product worth every penny,2,1
R000074,T027258,U01639,P00452,4,Very satisfied with this purchase.,2025-01-30 23:02:49.521103,38,satisfied purchase,2,1
R000075,T008267,U00359,P00718,5,Excellent product! Highly recommended.,2024-12-31 04:59:33.521103,23,excellent product highly recommended,2,1
R000076,T026002,U03811,P00179,5,Excellent product! Highly recommended.,2025-07-29 09:11:41.521103,78,excellent product highly recommended,2,1
R000077,T027947,U03991,P00319,5,"Outstanding product, worth every penny.",2025-07-21 10:34:56.521103,31,outstanding product worth every penny,2,1
R000078,T035962,U02328,P00206,3,"Average quality, nothing special.",2025-03-07 15:47:08.521103,65,average quality nothing special,1,0
R000079,T018487,U04018,P00265,3,"It's fine, does what it's supposed to do.",2025-04-18 22:40:47.521103,59,fine supposed,1,0
R000080,T020879,U02839,P00845,4,"Outstanding product, worth every penny.",2025-09-09 09:17:27.521103,66,outstanding product worth every penny,2,1
R000081,T031833,U01751,P00036,4,"Great quality, exactly what I needed.",2025-03-07 02:02:13.521103,80,great quality exactly needed,2,1
R000082,T047884,U01204,P00071,3,"It's fine, does what it's supposed to do.",2025-01-13 02:44:15.521103,36,fine supposed,1,0
R000083,T000007,U00621,P00997,4,Excellent product! Highly recommended.,2025-07-16 21:54:55.521103,56,excellent product highly recommended,2,1
R000084,T016876,U02818,P00998,4,Very satisfied with this purchase.,2025-02-17 15:19:12.521103,28,satisfied purchase,2,1
R000085,T000252,U04974,P00463,5,Best purchase I've made this year!,2025-11-12 08:07:01.521103,53,best purchase ive made year,2,1
R000086,T001767,U01007,P00654,4,"Great quality, exactly what I needed.",2025-07-07 19:26:29.521103,89,great quality exactly needed,2,1
R000087,T013023,U03671,P00428,4,"Outstanding product, worth every penny.",2025-03-02 17:18:01.521103,1,outstanding product worth every penny,2,1
R000088,T008516,U00612,P00907,2,Did not meet my expectations.,2025-05-23 14:06:47.521103,54,meet expectation,0,0
R000089,T021876,U04099,P00353,5,"Outstanding product, worth every penny.",2024-11-22 17:51:30.521103,74,outstanding product worth every penny,2,1
R000090,T044836,U03099,P00937,3,"Average quality, nothing special.",2025-03-27 21:55:10.521103,5,average quality nothing special,1,0
R000091,T002074,U04823,P00500,3,"It's fine, does what it's supposed to do.",2025-05-17 09:19:34.521103,17,fine supposed,1,0
R000092,T025262,U02554,P00826,3,"Average quality, nothing special.",2024-12-14 19:52:09.521103,70,average quality nothing special,1,0
R000093,T042689,U04302,P00281,5,Very satisfied with this purchase.,2025-01-03 18:29:57.521103,70,satisfied purchase,2,1
R000094,T041196,U00496,P00461,5,"Outstanding product, worth every penny.",2025-10-14 01:47:28.521103,96,outstanding product worth every penny,2,1
R000095,T002762,U00979,P00260,4,Excellent product! Highly recommended.,2025-10-16 10:10:35.521103,55,excellent product highly recommended,2,1
R000096,T015076,U02628,P00054,5,"Outstanding product, worth every penny.",2025-06-24 16:28:50.521103,82,outstanding product worth every penny,2,1
R000097,T014588,U03156,P00948,5,"Great quality, exactly what I needed.",2025-05-07 03:08:40.521103,8,great quality exactly needed,2,1
R000098,T000634,U03619,P00094,5,Very satisfied with this purchase.,2025-01-16 13:54:08.521103,7,satisfied purchase,2,1
R000099,T005693,U04255,P00148,5,Excellent product! Highly recommended.,2025-03-25 06:09:30.521103,32,excellent product highly recommended,2,1
R000100,T006560,U01739,P00890,5,"Outstanding product, worth every penny.",2025-10-08 11:46:38.521103,70,outstanding product worth every penny,2,1
R000101,T030100,U00641,P00068,4,"Great quality, exactly what I needed.",2025-07-24 18:28:59.521103,81,great quality exactly needed,2,1
R000102,T025526,U01462,P00608,4,Very satisfied with this purchase.,2025-09-12 17:59:49.521103,6,satisfied purchase,2,1
R000103,T033342,U00602,P00654,5,Best purchase I've made this year!,2025-02-10 09:11:32.521103,24,best purchase ive made year,2,1
R000104,T036978,U00339,P00701,3,"Average quality, nothing special.",2025-10-12 13:05:14.521103,59,average quality nothing special,1,0
R000105,T018551,U01587,P00055,5,"Outstanding product, worth every penny.",2025-01-21 21:56:50.521103,33,outstanding product worth every penny,2,1
R000106,T015163,U04624,P00661,5,"Outstanding product, worth every penny.",2025-02-06 04:50:32.521103,42,outstanding product worth every penny,2,1
R000107,T021732,U01836,P00571,4,"Great quality, exactly what I needed.",2025-04-20 07:56:05.521103,17,great quality exactly needed,2,1
R000108,T033344,U01533,P00596,4,Very satisfied with this purchase.,2024-12-19 13:23:32.521103,34,satisfied purchase,2,1
R000109,T022567,U04635,P00784,5,Best purchase I've made this year!,2025-03-06 18:49:22.521103,63,best purchase ive made year,2,1
R000110,T033000,U02821,P00127,5,Excellent product! Highly recommended.,2025-03-17 08:43:01.521103,48,excellent product highly recommended,2,1
R000111,T014155,U00221,P00107,5,Very satisfied with this purchase.,2025-10-21 05:40:58.521103,86,satisfied purchase,2,1
R000112,T013197,U02132,P00063,3,"Product is okay, meets basic expectations.",2025-06-11 10:27:29.521103,38,product okay meet basic expectation,1,0
R000113,T039190,U03931,P00870,4,Excellent product! Highly recommended.,2025-02-03 17:56:20.521103,4,excellent product highly recommended,2,1
R000114,T007687,U02128,P00420,5,"Great quality, exactly what I needed.",2024-11-25 18:21:06.521103,89,great quality exactly needed,2,1
R000115,T011141,U00304,P00051,5,Best purchase I've made this year!,2025-03-30 08:16:35.521103,25,best purchase ive made year,2,1
R000116,T046463,U01075,P00052,5,"Outstanding product, worth every penny.",2025-08-28 14:45:50.521103,73,outstanding product worth every penny,2,1
R000117,T018350,U01603,P00284,4,"Great quality, exactly what I needed.",2025-08-03 03:37:05.521103,9,great quality exactly needed,2,1
R000118,T007021,U03433,P00624,5,"Outstanding product, worth every penny.",2025-10-16 14:34:09.521103,15,outstanding product worth every penny,2,1
R000119,T016776,U01554,P00756,4,"Outstanding product, worth every penny.",2025-03-05 16:45:19.521103,0,outstanding product worth every penny,2,1
R000120,T028272,U04165,P00461,1,Disappointed with this purchase.,2025-06-22 03:49:23.521103,97,disappointed purchase,0,0
R000121,T028579,U03996,P00206,5,Best purchase I've made this year!,2025-10-26 13:36:29.521103,48,best purchase ive made year,2,1
R000122,T000577,U03113,P00478,1,Disappointed with this purchase.,2025-08-14 04:11:17.521103,81,disappointed purchase,0,0
R000123,T008299,U01125,P00416,5,"Great quality, exactly what I needed.",2025-04-08 13:39:25.521103,99,great quality exactly needed,2,1
R000124,T037298,U03785,P00362,5,"Outstanding product, worth every penny.",2025-05-12 00:54:58.521103,86,outstanding product worth every penny,2,1
R000125,T049281,U00529,P00608,5,"Great quality, exactly what I needed.",2025-02-24 03:34:19.521103,54,great quality exactly needed,2,1
R000126,T015116,U03107,P00699,4,"Great quality, exactly what I needed.",2025-03-21 13:22:36.521103,73,great quality exactly needed,2,1
R000127,T049142,U01559,P00283,4,Excellent product! Highly recommended.,2024-12-08 03:07:50.521103,15,excellent product highly recommended,2,1
R000128,T018077,U02560,P00150,3,"It's fine, does what it's supposed to do.",2025-04-08 13:13:50.521103,21,fine supposed,1,0
R000129,T042563,U03855,P00943,5,"Great quality, exactly what I needed.",2025-07-28 11:17:19.521103,30,great quality exactly needed,2,1
R000130,T016320,U01980,P00488,3,"Product is okay, meets basic expectations.",2025-05-11 04:37:42.521103,29,product okay meet basic expectation,1,0
R000131,T015256,U00097,P00638,4,Best purchase I've made this year!,2025-09-07 21:05:22.521103,20,best purchase ive made year,2,1
R000132,T022722,U02128,P00610,5,Very satisfied with this purchase.,2025-06-03 04:01:57.521103,91,satisfied purchase,2,1
R000133,T012094,U01330,P00515,5,Very satisfied with this purchase.,2025-02-21 09:01:22.521103,81,satisfied purchase,2,1
R000134,T014007,U02407,P00305,1,"Not satisfied, quality could be better.",2025-06-27 07:03:06.521103,50,satisfied quality could better,0,0
R000135,T038410,U04327,P00425,3,"It's fine, does what it's supposed to do.",2025-01-05 14:25:09.521103,86,fine supposed,1,0
R000136,T039464,U04251,P00923,4,"Outstanding product, worth every penny.",2025-11-14 04:43:51.521103,39,outstanding product worth every penny,2,1
R000137,T032372,U02327,P00194,5,"Great quality, exactly what I needed.",2025-11-13 20:08:23.521103,55,great quality exactly needed,2,1
R000138,T024098,U01387,P00691,5,"Great quality, exactly what I needed.",2025-04-19 13:27:30.521103,9,great quality exactly needed,2,1
R000139,T003294,U01342,P00331,1,Disappointed with this purchase.,2025-02-03 12:26:47.521103,19,disappointed purchase,0,0
R000140,T031946,U00820,P00697,5,"Outstanding product, worth every penny.",2025-01-06 22:59:33.521103,67,outstanding product worth every penny,2,1
R000141,T008568,U03866,P00372,3,"Product is okay, meets basic expectations.",2025-09-28 04:42:45.521103,26,product okay meet basic expectation,1,0
R000142,T029565,U00989,P00407,5,"Outstanding product, worth every penny.",2024-12-16 04:57:06.521103,41,outstanding product worth every penny,2,1
R000143,T014616,U03350,P00805,5,Excellent product! Highly recommended.,2025-10-28 03:17:56.521103,32,excellent product highly recommended,2,1
R000144,T029830,U01568,P00634,1,Did not meet my expectations.,2025-11-11 11:04:03.521103,95,meet expectation,0,0
R000145,T044258,U04040,P00138,2,Did not meet my expectations.,2025-04-11 01:56:04.521103,13,meet expectation,0,0
R000146,T032488,U04966,P00628,5,"Outstanding product, worth every penny.",2025-07-01 10:27:59.521103,67,outstanding product worth every penny,2,1
R000147,T045878,U00672,P00682,4,Excellent product! Highly recommended.,2025-05-15 23:10:17.521103,86,excellent product highly recommended,2,1
R000148,T004256,U01266,P00910,4,Excellent product! Highly recommended.,2025-02-28 05:58:08.521103,82,excellent product highly recommended,2,1
R000149,T006825,U02966,P00105,5,Very satisfied with this purchase.,2025-04-09 06:52:33.521103,93,satisfied purchase,2,1
R000150,T039493,U02674,P00321,4,"Outstanding product, worth every penny.",2024-11-24 11:21:17.521103,26,outstanding product worth every penny,2,1
R000151,T003542,U02714,P00563,4,"Outstanding product, worth every penny.",2025-09-20 16:35:55.521103,51,outstanding product worth every penny,2,1
R000152,T019905,U04113,P00874,5,"Outstanding product, worth every penny.",2025-05-13 03:20:22.521103,22,outstanding product worth every penny,2,1
R000153,T005338,U02914,P00213,5,Excellent product! Highly recommended.,2025-06-01 11:01:22.521103,25,excellent product highly recommended,2,1
R000154,T043066,U03889,P00518,3,"Product is okay, meets basic expectations.",2025-05-18 22:44:17.521103,58,product okay meet basic expectation,1,0
R000155,T011224,U00166,P00737,2,"Not satisfied, quality could be better.",2025-01-17 16:18:59.521103,66,satisfied quality could better,0,0
R000156,T021947,U03719,P00072,5,Excellent product! Highly recommended.,2025-04-14 23:41:24.521103,20,excellent product highly recommended,2,1
R000157,T003287,U00730,P00244,3,"Product is okay, meets basic expectations.",2025-06-13 02:41:31.521103,75,product okay meet basic expectation,1,0
R000158,T048038,U00876,P00499,3,"Product is okay, meets basic expectations.",2025-03-04 05:15:23.521103,65,product okay meet basic expectation,1,0
R000159,T016826,U03416,P00317,4,"Great quality, exactly what I needed.",2025-09-11 14:34:41.521103,39,great quality exactly needed,2,1
R000160,T043294,U02366,P00008,3,"Product is okay, meets basic expectations.",2025-07-30 00:04:57.521103,86,product okay meet basic expectation,1,0
R000161,T014071,U04749,P00726,4,"Great quality, exactly what I needed.",2025-09-05 21:52:31.521103,20,great quality exactly needed,2,1
R000162,T008124,U00227,P00177,5,Excellent product! Highly recommended.,2025-03-20 02:34:25.521103,46,excellent product highly recommended,2,1
R000163,T017997,U03558,P00620,4,"Outstanding product, worth every penny.",2025-01-02 02:07:43.521103,41,outstanding product worth every penny,2,1
R000164,T009935,U02663,P00219,4,Best purchase I've made this year!,2025-01-16 21:20:40.521103,62,best purchase ive made year,2,1
R000165,T037160,U03801,P00455,4,Best purchase I've made this year!,2025-09-02 20:34:45.521103,66,best purchase ive made year,2,1
R000166,T047997,U00313,P00121,5,Excellent product! Highly recommended.,2025-03-31 22:40:13.521103,73,excellent product highly recommended,2,1
R000167,T012799,U03947,P00669,1,"Not satisfied, quality could be better.",2025-04-08 00:12:04.521103,48,satisfied quality could better,0,0
R000168,T006244,U02710,P00081,3,"It's fine, does what it's supposed to do.",2025-07-20 18:51:39.521103,98,fine supposed,1,0
R000169,T036122,U02953,P00643,5,Very satisfied with this purchase.,2024-12-02 02:33:19.521103,10,satisfied purchase,2,1
R000170,T019909,U04982,P00330,3,"It's fine, does what it's supposed to do.",2025-03-08 23:54:02.521103,84,fine supposed,1,0
R000171,T001205,U00531,P00996,5,Best purchase I've made this year!,2025-09-24 14:16:51.521103,71,best purchase ive made year,2,1
R000172,T033418,U03100,P00647,4,Excellent product! Highly recommended.,2024-12-17 02:24:49.521103,83,excellent product highly recommended,2,1
R000173,T048819,U04978,P00357,5,"Great quality, exactly what I needed.",2025-06-16 12:23:43.521103,38,great quality exactly needed,2,1
R000174,T030806,U02188,P00519,5,Very satisfied with this purchase.,2025-11-08 09:08:54.521103,70,satisfied purchase,2,1
R000175,T023805,U01278,P00026,5,Excellent product! Highly recommended.,2024-12-14 13:37:26.521103,21,excellent product highly recommended,2,1
R000176,T027612,U02273,P00968,5,Very satisfied with this purchase.,2025-11-13 17:21:09.521103,11,satisfied purchase,2,1
R000177,T032866,U03583,P00806,5,"Great quality, exactly what I needed.",2025-04-02 15:35:28.521103,99,great quality exactly needed,2,1
R000178,T021817,U04271,P00427,4,"Great quality, exactly what I needed.",2025-03-05 18:11:28.521103,57,great quality exactly needed,2,1
R000179,T023211,U04902,P00240,4,"Outstanding product, worth every penny.",2025-05-08 07:26:05.521103,8,outstanding product worth every penny,2,1
R000180,T036597,U00885,P00248,3,"Average quality, nothing special.",2025-06-14 19:58:25.521103,33,average quality nothing special,1,0
R000181,T021958,U02239,P00287,4,"Great quality, exactly what I needed.",2025-09-22 09:57:32.521103,65,great quality exactly needed,2,1
R000182,T016518,U04196,P00563,5,Best purchase I've made this year!,2025-02-18 20:21:24.521103,27,best purchase ive made year,2,1
R000183,T003868,U00094,P00650,5,"Outstanding product, worth every penny.",2025-09-19 18:18:59.521103,87,outstanding product worth every penny,2,1
R000184,T040193,U00896,P00676,3,"Product is okay, meets basic expectations.",2024-12-30 10:00:49.521103,78,product okay meet basic expectation,1,0
R000185,T018466,U02075,P00307,5,Excellent product! Highly recommended.,2025-07-09 04:05:56.521103,94,excellent product highly recommended,2,1
R000186,T006546,U02510,P00875,3,"It's fine, does what it's supposed to do.",2025-08-28 13:30:35.521103,93,fine supposed,1,0
R000187,T038202,U04583,P00174,5,Best purchase I've made this year!,2025-10-10 06:15:06.521103,70,best purchase ive made year,2,1
R000188,T044891,U02613,P00467,5,Best purchase I've made this year!,2025-06-18 12:22:37.521103,91,best purchase ive made year,2,1
R000189,T029262,U04031,P00565,5,Excellent product! Highly recommended.,2025-08-19 12:45:56.521103,11,excellent product highly recommended,2,1
R000190,T046623,U00169,P00415,5,Very satisfied with this purchase.,2025-09-06 14:30:27.521103,52,satisfied purchase,2,1
R000191,T001842,U00204,P00493,4,Best purchase I've made this year!,2025-09-24 05:19:58.521103,39,best purchase ive made year,2,1
R000192,T014214,U01632,P00105,3,"Product is okay, meets basic expectations.",2025-09-27 10:02:35.521103,40,product okay meet basic expectation,1,0
R000193,T005883,U03670,P00549,4,"Outstanding product, worth every penny.",2024-12-28 11:20:35.521103,21,outstanding product worth every penny,2,1
R000194,T024766,U01635,P00145,5,"Great quality, exactly what I needed.",2025-05-15 14:54:39.521103,55,great quality exactly needed,2,1
R000195,T010670,U03621,P00680,5,Best purchase I've made this year!,2025-01-12 07:31:24.521103,9,best purchase ive made year,2,1
R000196,T044083,U02290,P00948,1,"Not satisfied, quality could be better.",2025-05-11 20:02:18.521103,69,satisfied quality could better,0,0
R000197,T001799,U04573,P00859,3,"Product is okay, meets basic expectations.",2025-08-30 23:38:52.521103,46,product okay meet basic expectation,1,0
R000198,T036518,U04488,P00908,5,"Outstanding product, worth every penny.",2025-08-25 01:59:08.521103,74,outstanding product worth every penny,2,1
R000199,T004407,U03288,P00596,5,Very satisfied with this purchase.,2025-07-07 02:15:57.521103,21,satisfied purchase,2,1
R000200,T015167,U01644,P00422,3,"It's fine, does what it's supposed to do.",2025-08-27 22:04:04.521103,28,fine supposed,1,0
R000201,T039109,U03884,P00871,5,"Great quality, exactly what I needed.",2025-03-29 05:17:25.521103,21,great quality exactly needed,2,1
R000202,T015235,U04910,P00145,4,Very satisfied with this purchase.,2025-10-24 19:19:40.521103,19,satisfied purchase,2,1
R000203,T041169,U00985,P00381,1,Did not meet my expectations.,2025-01-24 19:21:54.521103,73,meet expectation,0,0
R000204,T026129,U02308,P00491,3,"Average quality, nothing special.",2024-11-27 19:33:43.521103,42,average quality nothing special,1,0
R000205,T037908,U01007,P00265,4,Best purchase I've made this year!,2025-07-05 15:15:01.521103,86,best purchase ive made year,2,1
R000206,T016560,U00524,P00290,5,Very satisfied with this purchase.,2025-11-16 06:47:09.521103,32,satisfied purchase,2,1
R000207,T026848,U04718,P00050,4,Best purchase I've made this year!,2025-05-16 01:56:00.521103,61,best purchase ive made year,2,1
R000208,T020593,U00956,P00109,1,Did not meet my expectations.,2025-10-15 23:55:05.521103,3,meet expectation,0,0
R000209,T029894,U03889,P00026,5,Best purchase I've made this year!,2025-08-10 13:27:24.521103,77,best purchase ive made year,2,1
R000210,T039723,U03569,P00671,5,"Outstanding product, worth every penny.",2025-11-01 17:30:32.521103,86,outstanding product worth every penny,2,1
R000211,T001975,U00638,P00281,4,"Great quality, exactly what I needed.",2025-01-20 17:59:24.521103,77,great quality exactly needed,2,1
R000212,T047517,U02660,P00991,2,Did not meet my expectations.,2024-12-13 18:36:11.521103,68,meet expectation,0,0
R000213,T019765,U00205,P00537,5,Best purchase I've made this year!,2025-09-11 17:59:28.521103,14,best purchase ive made year,2,1
R000214,T037486,U00849,P00215,5,Excellent product! Highly recommended.,2025-07-11 07:04:38.521103,95,excellent product highly recommended,2,1
R000215,T036776,U03017,P00905,2,Disappointed with this purchase.,2025-07-12 08:47:36.521103,62,disappointed purchase,0,0
R000216,T035735,U04068,P00061,4,"Outstanding product, worth every penny.",2025-01-07 00:06:10.521103,98,outstanding product worth every penny,2,1
R000217,T013419,U02381,P00446,5,Excellent product! Highly recommended.,2025-09-02 07:53:57.521103,65,excellent product highly recommended,2,1
R000218,T035844,U04662,P00335,5,"Outstanding product, worth every penny.",2024-12-11 22:26:25.521103,50,outstanding product worth every penny,2,1
R000219,T027971,U03332,P00260,5,Best purchase I've made this year!,2025-04-28 08:24:43.521103,96,best purchase ive made year,2,1
R000220,T034417,U03142,P00186,4,Excellent product! Highly recommended.,2025-10-01 14:29:39.521103,74,excellent product highly recommended,2,1
