user_id,age,gender,location,membership,registration_date
U00079,35,M,South,Premium,2020-01-14 00:00:00
U00080,60,M,West,Basic,2020-01-14 04:00:00
U00081,52,M,West,VIP,2020-01-14 08:00:00
U00082,51,M,North,Basic,2020-01-14 12:00:00
U00083,58,M,South,Basic,2020-01-14 16:00:00
U00084,31,M,North,Basic,2020-01-14 20:00:00
U00085,21,M,South,Basic,2020-01-15 00:00:00
U00086,46,F,East,Premium,2020-01-15 04:00:00
U00087,58,F,North,Basic,2020-01-15 08:00:00
U00088,62,M,North,Premium,2020-01-15 12:00:00
U00089,67,F,North,Premium,2020-01-15 16:00:00
U00090,32,F,South,Basic,2020-01-15 20:00:00
U00091,45,F,West,Premium,2020-01-16 00:00:00
U00092,59,F,North,Basic,2020-01-16 04:00:00
U00093,33,M,West,Basic,2020-01-16 08:00:00
U00094,29,M,South,Premium,2020-01-16 12:00:00
U00095,69,M,North,Basic,2020-01-16 16:00:00
U00096,22,M,South,Basic,2020-01-16 20:00:00
U00097,51,F,West,Basic,2020-01-17 00:00:00
U00098,59,M,West,Premium,2020-01-17 04:00:00
U00099,18,M,North,Basic,2020-01-17 08:00:00
U00100,56,M,West,Basic,2020-01-17 12:00:00
U00101,49,M,East,Basic,2020-01-17 16:00:00
U00102,43,F,East,Premium,2020-01-17 20:00:00
U00103,34,F,North,Basic,2020-01-18 00:00:00
U00104,65,M,South,Basic,2020-01-18 04:00:00
U00105,44,M,South,Basic,2020-01-18 08:00:00
U00106,41,M,South,Basic,2020-01-18 12:00:00
U00107,52,M,East,Basic,2020-01-18 16:00:00
U00108,63,F,West,Basic,2020-01-18 20:00:00
U00109,59,M,East,Basic,2020-01-19 00:00:00
U00110,56,F,West,Basic,2020-01-19 04:00:00
U00111,43,F,East,Basic,2020-01-19 08:00:00
U00112,66,M,South,Basic,2020-01-19 12:00:00
U00113,55,M,South,Basic,2020-01-19 16:00:00
U00114,40,Other,South,Basic,2020-01-19 20:00:00
U00115,39,F,North,Basic,2020-01-20 00:00:00
U00116,21,F,North,Basic,2020-01-20 04:00:00
U00117,66,F,West,Basic,2020-01-20 08:00:00
U00118,26,F,North,Basic,2020-01-20 12:00:00
U00119,21,M,East,Basic,2020-01-20 16:00:00
U00120,24,F,East,Basic,2020-01-20 20:00:00
U00121,40,M,West,VIP,2020-01-21 00:00:00
U00122,19,F,West,Basic,2020-01-21 04:00:00
U00123,66,Other,South,VIP,2020-01-21 08:00:00
U00124,41,F,North,Basic,2020-01-21 12:00:00
U00125,57,M,South,Basic,2020-01-21 16:00:00
U00126,48,M,North,Premium,2020-01-21 20:00:00
U00127,64,F,North,Basic,2020-01-22 00:00:00
U00128,48,F,West,Basic,2020-01-22 04:00:00
U00129,64,F,South,VIP,2020-01-22 08:00:00
U00130,57,Other,South,Basic,2020-01-22 12:00:00
U00131,65,F,North,Basic,2020-01-22 16:00:00
U00132,68,M,North,Basic,2020-01-22 20:00:00
U00133,60,M,West,VIP,2020-01-23 00:00:00
U00134,51,M,East,Premium,2020-01-23 04:00:00
U00135,41,F,South,Basic,2020-01-23 08:00:00
U00136,66,F,South,Basic,2020-01-23 12:00:00
U00137,43,F,West,Premium,2020-01-23 16:00:00
U00138,33,M,West,Basic,2020-01-23 20:00:00
U00139,64,M,South,Basic,2020-01-24 00:00:00
U00140,30,M,South,Basic,2020-01-24 04:00:00
U00141,32,F,North,Basic,2020-01-24 08:00:00
U00142,44,M,East,Basic,2020-01-24 12:00:00
U00143,21,M,South,Premium,2020-01-24 16:00:00
U00144,33,M,West,Premium,2020-01-24 20:00:00
U00145,47,F,North,Basic,2020-01-25 00:00:00
U00146,61,M,North,Basic,2020-01-25 04:00:00
U00147,47,F,West,Basic,2020-01-25 08:00:00
U00148,53,F,West,Basic,2020-01-25 12:00:00
U00149,20,F,North,Basic,2020-01-25 16:00:00
U00150,39,F,West,Basic,2020-01-25 20:00:00
U00151,66,M,North,Basic,2020-01-26 00:00:00
U00152,39,M,West,Basic,2020-01-26 04:00:00
U00153,67,F,North,Basic,2020-01-26 08:00:00
U00154,67,F,South,Basic,2020-01-26 12:00:00
U00155,66,Other,South,Basic,2020-01-26 16:00:00
U00156,29,F,West,Basic,2020-01-26 20:00:00
U00157,38,M,East,Premium,2020-01-27 00:00:00
U00158,21,M,South,Premium,2020-01-27 04:00:00
U00159,48,F,North,Basic,2020-01-27 08:00:00
U00160,61,M,East,Basic,2020-01-27 12:00:00
U00161,48,M,North,Basic,2020-01-27 16:00:00
U00162,40,F,North,Basic,2020-01-27 20:00:00
U00163,37,M,South,Basic,2020-01-28 00:00:00
U00164,32,M,West,VIP,2020-01-28 04:00:00
U00165,40,F,West,Basic,2020-01-28 08:00:00
U00166,45,F,North,Basic,2020-01-28 12:00:00
U00167,33,M,South,Basic,2020-01-28 16:00:00
U00168,54,F,North,Basic,2020-01-28 20:00:00
U00169,38,F,East,Basic,2020-01-29 00:00:00
U00170,32,M,North,Basic,2020-01-29 04:00:00
U00171,34,M,South,Basic,2020-01-29 08:00:00
U00172,67,M,North,Basic,2020-01-29 12:00:00
U00173,54,F,South,VIP,2020-01-29 16:00:00
U00174,30,M,West,Basic,2020-01-29 20:00:00
U00175,36,Other,South,Basic,2020-01-30 00:00:00
U00176,47,F,East,Basic,2020-01-30 04:00:00
U00177,62,F,South,Basic,2020-01-30 08:00:00
U00178,35,F,East,Basic,2020-01-30 12:00:00
U00179,31,F,East,Basic,2020-01-30 16:00:00
U00180,53,M,North,Basic,2020-01-30 20:00:00
U00181,53,M,East,Basic,2020-01-31 00:00:00
U00182,37,F,South,Basic,2020-01-31 04:00:00
U00183,69,M,West,Basic,2020-01-31 08:00:00
U00184,36,M,South,Basic,2020-01-31 12:00:00
U00185,62,F,West,Basic,2020-01-31 16:00:00
U00186,61,F,East,Basic,2020-01-31 20:00:00
U00187,24,M,North,Basic,2020-02-01 00:00:00
U00188,61,F,East,Basic,2020-02-01 04:00:00
U00189,21,M,East,Basic,2020-02-01 08:00:00
U00190,51,F,West,VIP,2020-02-01 12:00:00
U00191,19,M,South,Basic,2020-02-01 16:00:00
U00192,22,F,North,VIP,2020-02-01 20:00:00
U00193,27,M,North,Basic,2020-02-02 00:00:00
U00194,49,F,North,Basic,2020-02-02 04:00:00
U00195,59,M,North,Basic,2020-02-02 08:00:00
U00196,58,M,South,Basic,2020-02-02 12:00:00
U00197,30,F,North,Basic,2020-02-02 16:00:00
U00198,56,M,West,Basic,2020-02-02 20:00:00
U00199,22,M,West,VIP,2020-02-03 00:00:00
U00200,27,M,North,Basic,2020-02-03 04:00:00
U00201,27,F,North,Basic,2020-02-03 08:00:00
U00202,55,F,South,Premium,2020-02-03 12:00:00
U00203,44,M,South,Premium,2020-02-03 16:00:00
U00204,68,F,North,Basic,2020-02-03 20:00:00
U00205,38,M,South,Basic,2020-02-04 00:00:00
U00206,25,F,East,Basic,2020-02-04 04:00:00
U00207,18,M,North,Basic,2020-02-04 08:00:00
U00208,45,F,South,Basic,2020-02-04 12:00:00
U00209,66,M,West,Basic,2020-02-04 16:00:00
U00210,56,Other,North,Basic,2020-02-04 20:00:00
U00211,31,M,North,VIP,2020-02-05 00:00:00
U00212,38,M,West,VIP,2020-02-05 04:00:00
U00213,47,M,West,Basic,2020-02-05 08:00:00
U00214,38,F,South,Basic,2020-02-05 12:00:00
U00215,66,F,West,Basic,2020-02-05 16:00:00
U00216,26,F,East,Basic,2020-02-05 20:00:00
U00217,34,F,North,Basic,2020-02-06 00:00:00
U00218,22,F,East,VIP,2020-02-06 04:00:00
U00219,48,F,South,Basic,2020-02-06 08:00:00
U00220,69,M,West,Basic,2020-02-06 12:00:00
U00221,57,F,North,Basic,2020-02-06 16:00:00
U00222,55,M,West,VIP,2020-02-06 20:00:00
U00223,60,F,West,VIP,2020-02-07 00:00:00
U00224,36,F,South,Premium,2020-02-07 04:00:00
U00225,53,F,South,Basic,2020-02-07 08:00:00
U00226,67,F,South,Basic,2020-02-07 12:00:00
U00227,50,F,South,Basic,2020-02-07 16:00:00
U00228,30,F,North,Basic,2020-02-07 20:00:00
U00229,31,M,East,Premium,2020-02-08 00:00:00
U00230,50,M,East,Basic,2020-02-08 04:00:00
U00231,46,F,North,Basic,2020-02-08 08:00:00
U00232,60,Other,West,Basic,2020-02-08 12:00:00
U00233,66,M,North,Basic,2020-02-08 16:00:00
U00234,53,M,East,Basic,2020-02-08 20:00:00
U00235,61,M,East,Basic,2020-02-09 00:00:00
U00236,27,M,North,Basic,2020-02-09 04:00:00
U00237,48,F,South,Basic,2020-02-09 08:00:00
U00238,23,F,West,VIP,2020-02-09 12:00:00
U00239,18,F,North,Basic,2020-02-09 16:00:00
U00240,24,F,East,Basic,2020-02-09 20:00:00
U00241,44,F,South,Basic,2020-02-10 00:00:00
U00242,38,M,West,Basic,2020-02-10 04:00:00
U00243,45,M,East,Premium,2020-02-10 08:00:00
U00244,33,F,West,Basic,2020-02-10 12:00:00
U00245,63,M,South,Basic,2020-02-10 16:00:00
U00246,40,M,East,VIP,2020-02-10 20:00:00
U00247,69,M,South,Premium,2020-02-11 00:00:00
U00248,37,M,North,Basic,2020-02-11 04:00:00
U00249,55,M,North,Basic,2020-02-11 08:00:00
U00250,42,F,West,Basic,2020-02-11 12:00:00
U00251,45,M,South,Premium,2020-02-11 16:00:00
U00252,22,F,South,Basic,2020-02-11 20:00:00
U00253,38,M,West,Basic,2020-02-12 00:00:00
U00254,35,F,West,Basic,2020-02-12 04:00:00
U00255,64,F,West,Basic,2020-02-12 08:00:00
U00256,23,F,North,Premium,2020-02-12 12:00:00
U00257,46,F,West,VIP,2020-02-12 16:00:00
U00258,36,M,North,Basic,2020-02-12 20:00:00
U00259,50,M,West,Basic,2020-02-13 00:00:00
U00260,18,M,South,Basic,2020-02-13 04:00:00
U00261,62,M,South,Premium,2020-02-13 08:00:00
U00262,20,M,West,Premium,2020-02-13 12:00:00
U00263,59,F,West,VIP,2020-02-13 16:00:00
U00264,38,F,North,VIP,2020-02-13 20:00:00
U00265,52,F,East,Basic,2020-02-14 00:00:00
U00266,58,F,North,Premium,2020-02-14 04:00:00
U00267,57,F,South,Basic,2020-02-14 08:00:00
U00268,20,F,West,Basic,2020-02-14 12:00:00
U00269,42,F,South,Basic,2020-02-14 16:00:00
U00270,62,M,East,Basic,2020-02-14 20:00:00
U00271,55,M,North,Premium,2020-02-15 00:00:00
U00272,62,Other,South,Basic,2020-02-15 04:00:00
U00273,37,F,North,Premium,2020-02-15 08:00:00
U00274,69,F,West,Basic,2020-02-15 12:00:00
U00275,61,M,South,Basic,2020-02-15 16:00:00
U00276,62,F,East,Basic,2020-02-15 20:00:00
U00277,51,M,North,Basic,2020-02-16 00:00:00
U00278,38,M,North,Basic,2020-02-16 04:00:00
U00279,65,M,East,Basic,2020-02-16 08:00:00
U00280,40,F,South,Premium,2020-02-16 12:00:00
U00281,23,M,South,Basic,2020-02-16 16:00:00
U00282,68,M,North,Basic,2020-02-16 20:00:00
U00283,30,M,East,Premium,2020-02-17 00:00:00
U00284,66,F,North,Basic,2020-02-17 04:00:00
U00285,40,F,North,Basic,2020-02-17 08:00:00
U00286,26,F,West,Basic,2020-02-17 12:00:00
U00287,34,M,South,Basic,2020-02-17 16:00:00
U00288,19,F,South,Basic,2020-02-17 20:00:00
U00289,36,F,West,Basic,2020-02-18 00:00:00
U00290,36,F,South,Basic,2020-02-18 04:00:00
U00291,24,M,South,Basic,2020-02-18 08:00:00
U00292,59,F,South,Basic,2020-02-18 12:00:00
U00293,59,Other,East,Basic,2020-02-18 16:00:00
U00294,37,M,West,VIP,2020-02-18 20:00:00
U00295,26,M,North,Basic,2020-02-19 00:00:00
U00296,34,M,East,Basic,2020-02-19 04:00:00
U00297,44,F,North,Premium,2020-02-19 08:00:00
U00298,64,M,West,Premium,2020-02-19 12:00:00
U00299,19,M,West,Premium,2020-02-19 16:00:00
U00300,53,M,West,VIP,2020-02-19 20:00:00
U00301,36,F,South,Basic,2020-02-20 00:00:00
U00302,34,F,East,Basic,2020-02-20 04:00:00
U00303,22,F,West,Basic,2020-02-20 08:00:00
U00304,56,F,North,Basic,2020-02-20 12:00:00
U00305,35,M,South,Basic,2020-02-20 16:00:00
U00306,24,F,South,Basic,2020-02-20 20:00:00
U00307,34,F,East,Premium,2020-02-21 00:00:00
U00308,56,M,East,Basic,2020-02-21 04:00:00
U00309,53,F,East,Basic,2020-02-21 08:00:00
U00310,57,F,South,Basic,2020-02-21 12:00:00
U00311,62,F,West,Basic,2020-02-21 16:00:00
U00312,21,M,North,Premium,2020-02-21 20:00:00
U00313,55,Other,West,VIP,2020-02-22 00:00:00
U00314,42,F,North,Premium,2020-02-22 04:00:00
U00315,22,M,West,Basic,2020-02-22 08:00:00
U00316,47,M,East,VIP,2020-02-22 12:00:00
U00317,29,M,North,Basic,2020-02-22 16:00:00
U00318,21,Other,South,Premium,2020-02-22 20:00:00
U00319,41,F,North,Basic,2020-02-23 00:00:00
U00320,46,M,South,Basic,2020-02-23 04:00:00
U00321,26,M,West,VIP,2020-02-23 08:00:00
U00322,21,M,East,Basic,2020-02-23 12:00:00
U00323,68,F,North,Premium,2020-02-23 16:00:00
U00324,41,M,South,Basic,2020-02-23 20:00:00
U00325,31,Other,West,Premium,2020-02-24 00:00:00
U00326,22,F,East,VIP,2020-02-24 04:00:00
U00327,35,F,East,Basic,2020-02-24 08:00:00
U00328,59,M,East,Basic,2020-02-24 12:00:00
U00329,36,M,West,Basic,2020-02-24 16:00:00
U00330,29,F,West,VIP,2020-02-24 20:00:00
U00331,35,M,West,Basic,2020-02-25 00:00:00
U00332,34,M,East,Basic,2020-02-25 04:00:00
U00333,47,F,North,Basic,2020-02-25 08:00:00
U00334,41,M,South,Basic,2020-02-25 12:00:00
U00335,28,M,West,Basic,2020-02-25 16:00:00
U00336,52,M,North,Basic,2020-02-25 20:00:00
U00337,40,M,South,Premium,2020-02-26 00:00:00
U00338,34,Other,East,Basic,2020-02-26 04:00:00
U00339,18,M,North,Basic,2020-02-26 08:00:00
U00340,32,M,East,Basic,2020-02-26 12:00:00
U00341,49,F,South,Basic,2020-02-26 16:00:00
U00342,26,M,West,VIP,2020-02-26 20:00:00
U00343,32,M,East,Basic,2020-02-27 00:00:00
U00344,45,M,North,Basic,2020-02-27 04:00:00
U00345,41,M,West,Basic,2020-02-27 08:00:00
U00346,52,M,North,Premium,2020-02-27 12:00:00
U00347,39,M,South,VIP,2020-02-27 16:00:00
U00348,44,F,South,Basic,2020-02-27 20:00:00
U00349,36,M,West,Basic,2020-02-28 00:00:00
U00350,62,F,North,Basic,2020-02-28 04:00:00
U00351,29,F,North,Premium,2020-02-28 08:00:00
U00352,37,F,North,Basic,2020-02-28 12:00:00
U00353,18,M,North,VIP,2020-02-28 16:00:00
U00354,38,M,South,Premium,2020-02-28 20:00:00
U00355,66,F,North,Premium,2020-02-29 00:00:00
U00356,62,F,South,Basic,2020-02-29 04:00:00
U00357,18,F,North,Basic,2020-02-29 08:00:00
U00358,27,M,North,Premium,2020-02-29 12:00:00
U00359,64,F,East,Basic,2020-02-29 16:00:00
U00360,49,M,East,Basic,2020-02-29 20:00:00
U00361,56,M,North,Basic,2020-03-01 00:00:00
U00362,39,M,South,Basic,2020-03-01 04:00:00
U00363,35,M,North,Basic,2020-03-01 08:00:00
U00364,65,F,East,Basic,2020-03-01 12:00:00
U00365,63,F,North,Basic,2020-03-01 16:00:00
U00366,49,F,East,Basic,2020-03-01 20:00:00
U00367,44,F,North,Basic,2020-03-02 00:00:00
U00368,45,F,West,Basic,2020-03-02 04:00:00
U00369,35,F,North,Basic,2020-03-02 08:00:00
U00370,56,M,South,Premium,2020-03-02 12:00:00
U00371,66,F,East,Premium,2020-03-02 16:00:00
U00372,46,M,West,Premium,2020-03-02 20:00:00
U00373,35,M,East,Premium,2020-03-03 00:00:00
U00374,61,M,East,Basic,2020-03-03 04:00:00
U00375,25,M,South,Basic,2020-03-03 08:00:00
U00376,48,F,North,Basic,2020-03-03 12:00:00
U00377,51,F,South,Basic,2020-03-03 16:00:00
U00378,24,M,North,Basic,2020-03-03 20:00:00
U00379,53,Other,West,Basic,2020-03-04 00:00:00
U00380,35,F,South,VIP,2020-03-04 04:00:00
U00381,55,F,South,Basic,2020-03-04 08:00:00
U00382,26,F,East,Basic,2020-03-04 12:00:00
U00383,26,M,South,VIP,2020-03-04 16:00:00
U00384,63,F,North,Premium,2020-03-04 20:00:00
U00385,25,F,South,Basic,2020-03-05 00:00:00
U00386,68,Other,South,VIP,2020-03-05 04:00:00
U00387,52,F,West,Basic,2020-03-05 08:00:00
U00388,35,F,North,Premium,2020-03-05 12:00:00
U00389,22,F,East,Basic,2020-03-05 16:00:00
U00390,31,M,North,Basic,2020-03-05 20:00:00
U00391,45,M,West,Premium,2020-03-06 00:00:00
U00392,47,M,North,Basic,2020-03-06 04:00:00
U00393,21,M,North,Basic,2020-03-06 08:00:00
U00394,56,M,South,Basic,2020-03-06 12:00:00
U00395,37,F,South,Basic,2020-03-06 16:00:00
U00396,42,F,North,VIP,2020-03-06 20:00:00
U00397,45,Other,North,Basic,2020-03-07 00:00:00
U00398,29,F,East,Basic,2020-03-07 04:00:00
U00399,19,F,West,Basic,2020-03-07 08:00:00
U00400,60,F,South,Basic,2020-03-07 12:00:00
U00401,31,F,South,Basic,2020-03-07 16:00:00
U00402,39,F,South,Basic,2020-03-07 20:00:00
U00403,48,M,South,VIP,2020-03-08 00:00:00
U00404,40,M,North,Basic,2020-03-08 04:00:00
U00405,65,M,North,Basic,2020-03-08 08:00:00
U00406,37,F,East,Basic,2020-03-08 12:00:00
U00407,55,F,South,Basic,2020-03-08 16:00:00
U00408,21,F,South,Basic,2020-03-08 20:00:00
U00409,32,M,North,Premium,2020-03-09 00:00:00
U00410,41,F,East,VIP,2020-03-09 04:00:00
U00411,42,F,North,Basic,2020-03-09 08:00:00
U00412,18,M,South,Basic,2020-03-09 12:00:00
U00413,24,F,South,VIP,2020-03-09 16:00:00
U00414,48,F,West,Basic,2020-03-09 20:00:00
U00415,29,Other,West,Basic,2020-03-10 00:00:00
U00416,59,F,West,VIP,2020-03-10 04:00:00
U00417,22,M,East,Premium,2020-03-10 08:00:00
U00418,61,M,North,Basic,2020-03-10 12:00:00
U00419,67,M,South,Basic,2020-03-10 16:00:00
U00420,59,F,South,Basic,2020-03-10 20:00:00
U00421,55,M,East,Basic,2020-03-11 00:00:00
U00422,29,F,South,Premium,2020-03-11 04:00:00
U00423,56,F,South,Basic,2020-03-11 08:00:00
U00424,35,Other,North,Basic,2020-03-11 12:00:00
U00425,19,M,West,Basic,2020-03-11 16:00:00
U00426,27,F,West,Basic,2020-03-11 20:00:00
U00427,32,F,East,Basic,2020-03-12 00:00:00
U00428,47,Other,West,Premium,2020-03-12 04:00:00
U00429,61,M,West,Basic,2020-03-12 08:00:00
U00430,34,M,East,Basic,2020-03-12 12:00:00
U00431,21,F,East,Basic,2020-03-12 16:00:00
U00432,24,M,West,Premium,2020-03-12 20:00:00
U00433,58,M,North,Basic,2020-03-13 00:00:00
U00434,48,M,East,Basic,2020-03-13 04:00:00
U00435,68,F,South,Basic,2020-03-13 08:00:00
U00436,56,F,East,Basic,2020-03-13 12:00:00
U00437,51,M,South,Premium,2020-03-13 16:00:00
U00438,23,M,East,Basic,2020-03-13 20:00:00
U00439,67,F,East,Premium,2020-03-14 00:00:00
U00440,55,F,West,Premium,2020-03-14 04:00:00
U00441,62,M,West,VIP,2020-03-14 08:00:00
U00442,68,M,West,Basic,2020-03-14 12:00:00
U00443,51,F,North,Basic,2020-03-14 16:00:00
U00444,61,Other,West,Basic,2020-03-14 20:00:00
U00445,32,Other,West,Basic,2020-03-15 00:00:00
U00446,31,F,East,Premium,2020-03-15 04:00:00
U00447,23,M,East,Premium,2020-03-15 08:00:00
U00448,67,F,North,Basic,2020-03-15 12:00:00
U00449,54,M,South,Basic,2020-03-15 16:00:00
U00450,67,F,East,Basic,2020-03-15 20:00:00
U00451,49,M,East,Basic,2020-03-16 00:00:00
U00452,20,F,South,Premium,2020-03-16 04:00:00
U00453,20,F,North,Basic,2020-03-16 08:00:00
U00454,39,M,East,Basic,2020-03-16 12:00:00
U00455,39,F,West,Basic,2020-03-16 16:00:00
U00456,27,M,North,VIP,2020-03-16 20:00:00
U00457,68,M,South,Basic,2020-03-17 00:00:00
U00458,20,M,South,VIP,2020-03-17 04:00:00
U00459,29,M,West,Premium,2020-03-17 08:00:00
U00460,46,M,West,Basic,2020-03-17 12:00:00
U00461,65,F,West,Basic,2020-03-17 16:00:00
U00462,34,M,North,Basic,2020-03-17 20:00:00
U00463,24,M,South,Basic,2020-03-18 00:00:00
U00464,30,M,West,Premium,2020-03-18 04:00:00
U00465,19,F,West,Basic,2020-03-18 08:00:00
U00466,21,F,South,Basic,2020-03-18 12:00:00
U00467,27,F,East,Basic,2020-03-18 16:00:00
U00468,56,F,North,Basic,2020-03-18 20:00:00
U00469,41,F,East,Basic,2020-03-19 00:00:00
U00470,34,F,West,Basic,2020-03-19 04:00:00
U00471,69,F,North,Basic,2020-03-19 08:00:00
U00472,23,M,East,Basic,2020-03-19 12:00:00
U00473,36,F,South,Basic,2020-03-19 16:00:00
U00474,22,F,West,Basic,2020-03-19 20:00:00
U00475,49,F,North,Basic,2020-03-20 00:00:00
U00476,27,F,North,Premium,2020-03-20 04:00:00
U00477,26,F,North,Basic,2020-03-20 08:00:00
U00478,44,F,North,Basic,2020-03-20 12:00:00
U00479,30,M,West,Basic,2020-03-20 16:00:00
U00480,36,M,West,Basic,2020-03-20 20:00:00
U00481,38,M,South,Basic,2020-03-21 00:00:00
U00482,41,F,South,VIP,2020-03-21 04:00:00
U00483,55,F,South,Basic,2020-03-21 08:00:00
U00484,21,F,East,Basic,2020-03-21 12:00:00
U00485,41,F,South,Basic,2020-03-21 16:00:00
U00486,52,F,West,Basic,2020-03-21 20:00:00
U00487,20,F,East,Basic,2020-03-22 00:00:00
U00488,21,F,West,Basic,2020-03-22 04:00:00
U00489,54,F,East,VIP,2020-03-22 08:00:00
U00490,57,F,South,Basic,2020-03-22 12:00:00
U00491,65,M,South,Basic,2020-03-22 16:00:00
U00492,52,F,South,VIP,2020-03-22 20:00:00
U00493,48,M,East,Premium,2020-03-23 00:00:00
U00494,61,M,West,VIP,2020-03-23 04:00:00
U00495,42,F,North,Basic,2020-03-23 08:00:00
U00496,57,F,West,Basic,2020-03-23 12:00:00
U00497,30,Other,South,Premium,2020-03-23 16:00:00
U00498,21,M,East,Basic,2020-03-23 20:00:00
U00499,63,F,East,Basic,2020-03-24 00:00:00
U00500,31,M,South,Premium,2020-03-24 04:00:00
U00501,30,M,East,Basic,2020-03-24 08:00:00
U00502,44,M,South,Premium,2020-03-24 12:00:00
U00503,23,M,West,VIP,2020-03-24 16:00:00
U00504,34,M,East,Premium,2020-03-24 20:00:00
U00505,53,M,North,Basic,2020-03-25 00:00:00
U00506,57,M,East,Basic,2020-03-25 04:00:00
U00507,66,F,South,Premium,2020-03-25 08:00:00
U00508,52,M,North,VIP,2020-03-25 12:00:00
U00509,34,F,South,Basic,2020-03-25 16:00:00
U00510,58,F,East,Basic,2020-03-25 20:00:00
U00511,19,F,North,Premium,2020-03-26 00:00:00
U00512,30,F,North,Basic,2020-03-26 04:00:00
U00513,69,F,East,Basic,2020-03-26 08:00:00
U00514,19,F,North,Basic,2020-03-26 12:00:00
U00515,69,M,West,Basic,2020-03-26 16:00:00
U00516,45,F,North,Premium,2020-03-26 20:00:00
