transaction_id,user_id,product_id,rating,timestamp,purchase_amount,quantity,month,hour,day_of_week
T041690,U00192,P00086,5,2024-11-22 05:30:52.521103,129.35,4,2024-11,5,4
T006618,U03845,P00250,4,2024-11-22 05:32:07.521103,150.07,2,2024-11,5,4
T039120,U04444,P00166,3,2024-11-22 05:32:09.521103,416.05,2,2024-11,5,4
T026163,U03801,P00226,1,2024-11-22 05:42:24.521103,223.92,2,2024-11,5,4
T000044,U03724,P00798,5,2024-11-22 05:56:37.521103,235.72,3,2024-11,5,4
T041523,U03566,P00403,4,2024-11-22 06:09:27.521103,132.7,3,2024-11,6,4
T033371,U00386,P00194,4,2024-11-22 06:10:49.521103,186.52,4,2024-11,6,4
T039218,U03736,P00366,4,2024-11-22 06:18:57.521103,168.87,4,2024-11,6,4
T024663,U03928,P00467,5,2024-11-22 06:25:24.521103,371.07,3,2024-11,6,4
T045122,U00816,P00249,4,2024-11-22 06:39:36.521103,259.49,3,2024-11,6,4
T047023,U04932,P00804,3,2024-11-22 06:56:26.521103,378.9,4,2024-11,6,4
T031176,U04819,P00560,5,2024-11-22 06:57:05.521103,272.73,1,2024-11,6,4
T038647,U01046,P00671,3,2024-11-22 07:08:31.521103,36.23,4,2024-11,7,4
T011183,U03471,P00191,5,2024-11-22 07:14:47.521103,176.57,2,2024-11,7,4
T017011,U01122,P00838,5,2024-11-22 07:22:21.521103,203.97,3,2024-11,7,4
T003138,U02866,P00220,5,2024-11-22 07:23:09.521103,377.02,4,2024-11,7,4
T008951,U02547,P00189,5,2024-11-22 07:23:43.521103,220.01,4,2024-11,7,4
T037060,U04538,P00589,1,2024-11-22 07:32:25.521103,35.81,3,2024-11,7,4
T015259,U02778,P00533,4,2024-11-22 07:47:47.521103,128.85,2,2024-11,7,4
T008069,U04097,P00400,4,2024-11-22 07:50:38.521103,392.28,3,2024-11,7,4
T014380,U04351,P00331,5,2024-11-22 07:51:56.521103,365.87,4,2024-11,7,4
T043824,U02611,P00014,4,2024-11-22 08:03:23.521103,245.59,4,2024-11,8,4
T035000,U01785,P00538,4,2024-11-22 08:11:44.521103,242.95,3,2024-11,8,4
T029080,U01750,P00932,4,2024-11-22 08:15:30.521103,250.25,3,2024-11,8,4
T021688,U00244,P00569,4,2024-11-22 08:34:33.521103,458.94,1,2024-11,8,4
T022548,U03530,P00897,5,2024-11-22 08:37:43.521103,411.88,2,2024-11,8,4
T023043,U04043,P00393,4,2024-11-22 08:38:30.521103,327.58,1,2024-11,8,4
T005252,U01182,P00465,5,2024-11-22 08:45:42.521103,62.08,1,2024-11,8,4
T048417,U03619,P00309,5,2024-11-22 08:46:05.521103,169.55,3,2024-11,8,4
T040083,U02060,P00363,4,2024-11-22 08:56:19.521103,450.74,1,2024-11,8,4
T044835,U01608,P00060,5,2024-11-22 09:42:18.521103,42.07,4,2024-11,9,4
T034090,U00395,P00768,1,2024-11-22 09:48:16.521103,414.2,3,2024-11,9,4
T033311,U01647,P00131,5,2024-11-22 10:22:20.521103,258.05,4,2024-11,10,4
T048809,U00450,P00995,2,2024-11-22 10:22:43.521103,302.26,3,2024-11,10,4
T005498,U04499,P00343,4,2024-11-22 10:31:12.521103,309.29,3,2024-11,10,4
T044431,U01631,P00005,2,2024-11-22 10:57:27.521103,192.87,3,2024-11,10,4
T044403,U03757,P00869,4,2024-11-22 11:00:59.521103,184.8,4,2024-11,11,4
T015106,U04067,P00563,4,2024-11-22 11:03:38.521103,131.78,4,2024-11,11,4
T013659,U00437,P00170,5,2024-11-22 11:21:01.521103,459.35,2,2024-11,11,4
T012280,U00486,P00399,2,2024-11-22 11:22:46.521103,475.75,1,2024-11,11,4
T034967,U02361,P00944,1,2024-11-22 11:30:19.521103,221.38,2,2024-11,11,4
T036520,U01129,P00263,4,2024-11-22 11:49:02.521103,323.6,2,2024-11,11,4
T034354,U00621,P00421,3,2024-11-22 12:00:42.521103,278.37,3,2024-11,12,4
T025211,U00214,P00082,4,2024-11-22 12:02:46.521103,297.6,4,2024-11,12,4
T004435,U01651,P00442,4,2024-11-22 12:09:21.521103,366.03,1,2024-11,12,4
T015142,U02670,P00905,1,2024-11-22 12:09:23.521103,208.27,3,2024-11,12,4
T044851,U01335,P00688,4,2024-11-22 13:01:00.521103,59.58,3,2024-11,13,4
T002395,U04343,P00870,5,2024-11-22 13:04:54.521103,335.26,4,2024-11,13,4
T033133,U01856,P00703,4,2024-11-22 13:34:52.521103,451.11,2,2024-11,13,4
T036388,U00920,P00750,3,2024-11-22 13:36:33.521103,195.74,1,2024-11,13,4
T007595,U03473,P00904,4,2024-11-22 13:49:25.521103,38.2,1,2024-11,13,4
T016429,U02817,P00077,5,2024-11-22 13:49:51.521103,218.31,4,2024-11,13,4
T022308,U03461,P00440,5,2024-11-22 14:01:35.521103,95.42,2,2024-11,14,4
T007894,U04416,P00152,5,2024-11-22 14:08:43.521103,249.42,3,2024-11,14,4
T017860,U04554,P00767,5,2024-11-22 14:10:36.521103,491.86,3,2024-11,14,4
T019061,U04867,P00830,1,2024-11-22 14:20:37.521103,154.09,4,2024-11,14,4
T041329,U03510,P00419,5,2024-11-22 14:31:32.521103,58.26,4,2024-11,14,4
T015566,U01953,P00702,4,2024-11-22 15:08:54.521103,170.5,1,2024-11,15,4
T006129,U01258,P00052,4,2024-11-22 15:47:57.521103,410.15,4,2024-11,15,4
T015107,U03708,P00750,5,2024-11-22 15:54:19.521103,148.56,1,2024-11,15,4
T027801,U02663,P00129,5,2024-11-22 16:15:51.521103,378.25,1,2024-11,16,4
T005819,U02401,P00690,5,2024-11-22 16:26:10.521103,91.41,1,2024-11,16,4
T036517,U04008,P00213,5,2024-11-22 16:35:59.521103,271.2,1,2024-11,16,4
T036811,U02395,P00371,5,2024-11-22 16:53:01.521103,481.52,2,2024-11,16,4
T040071,U01910,P00283,5,2024-11-22 17:06:24.521103,145.96,3,2024-11,17,4
T025697,U04484,P00255,5,2024-11-22 17:08:25.521103,484.28,2,2024-11,17,4
T036529,U04435,P00801,3,2024-11-22 17:15:00.521103,309.79,4,2024-11,17,4
T036232,U02975,P00345,4,2024-11-22 17:19:45.521103,240.38,1,2024-11,17,4
T042980,U04728,P00397,4,2024-11-22 17:21:54.521103,486.95,2,2024-11,17,4
T048602,U04219,P00920,5,2024-11-22 17:26:57.521103,392.48,4,2024-11,17,4
T016271,U04328,P00725,4,2024-11-22 17:28:57.521103,497.26,3,2024-11,17,4
T011450,U03162,P00371,4,2024-11-22 17:37:14.521103,91.47,3,2024-11,17,4
T027820,U03792,P00644,4,2024-11-22 17:42:47.521103,304.07,1,2024-11,17,4
T021876,U04099,P00353,5,2024-11-22 17:51:30.521103,31.89,1,2024-11,17,4
T000391,U02715,P00814,1,2024-11-22 18:20:53.521103,222.86,3,2024-11,18,4
T024188,U00168,P00245,5,2024-11-22 18:40:19.521103,482.29,1,2024-11,18,4
T018835,U03707,P00215,4,2024-11-22 18:43:02.521103,313.2,3,2024-11,18,4
T013046,U04562,P00185,3,2024-11-22 18:48:55.521103,100.41,4,2024-11,18,4
T039165,U04878,P00680,5,2024-11-22 18:49:06.521103,337.59,3,2024-11,18,4
T034890,U01118,P00993,4,2024-11-22 19:02:13.521103,224.86,4,2024-11,19,4
T008300,U00802,P00239,3,2024-11-22 19:05:51.521103,430.89,4,2024-11,19,4
T023037,U04339,P00621,5,2024-11-22 19:06:36.521103,192.38,3,2024-11,19,4
T001610,U04497,P00390,5,2024-11-22 19:14:41.521103,221.94,3,2024-11,19,4
T011915,U02223,P00108,5,2024-11-22 19:35:16.521103,13.71,2,2024-11,19,4
T010123,U02486,P00820,4,2024-11-22 19:47:15.521103,48.89,2,2024-11,19,4
T024577,U04523,P00948,3,2024-11-22 19:55:26.521103,249.63,1,2024-11,19,4
T026643,U00284,P00084,5,2024-11-22 20:19:26.521103,441.37,2,2024-11,20,4
T014468,U01108,P00263,3,2024-11-22 20:24:36.521103,112.76,4,2024-11,20,4
T012016,U04948,P00996,4,2024-11-22 20:40:31.521103,309.61,4,2024-11,20,4
T021352,U04456,P00018,4,2024-11-22 21:15:23.521103,312.66,2,2024-11,21,4
T030130,U03845,P00328,5,2024-11-22 21:19:16.521103,306.5,4,2024-11,21,4
T047301,U03648,P00801,5,2024-11-22 21:20:29.521103,15.17,2,2024-11,21,4
T041383,U01807,P00703,4,2024-11-22 21:33:53.521103,168.21,2,2024-11,21,4
T010358,U03098,P00090,5,2024-11-22 21:33:57.521103,485.0,3,2024-11,21,4
T002269,U01285,P00624,4,2024-11-22 21:57:09.521103,272.93,1,2024-11,21,4
T019610,U04239,P00132,3,2024-11-22 22:31:04.521103,112.26,3,2024-11,22,4
T005437,U04577,P00911,5,2024-11-22 22:31:20.521103,16.04,1,2024-11,22,4
T039319,U04048,P00285,3,2024-11-22 23:05:27.521103,272.42,2,2024-11,23,4
T002663,U02700,P00306,5,2024-11-22 23:17:27.521103,357.32,4,2024-11,23,4
T031521,U01354,P00321,4,2024-11-22 23:19:50.521103,352.03,3,2024-11,23,4
T013117,U04290,P00480,3,2024-11-22 23:20:17.521103,230.07,4,2024-11,23,4
T015625,U04560,P00504,5,2024-11-23 00:01:48.521103,147.59,1,2024-11,0,5
T015352,U03338,P00657,4,2024-11-23 00:04:30.521103,54.88,3,2024-11,0,5
T016946,U02538,P00506,4,2024-11-23 00:12:28.521103,402.2,1,2024-11,0,5
T027430,U02172,P00942,3,2024-11-23 00:31:00.521103,173.47,1,2024-11,0,5
T045621,U00315,P00813,3,2024-11-23 00:32:24.521103,171.65,3,2024-11,0,5
T005464,U00908,P00064,4,2024-11-23 00:35:50.521103,146.7,2,2024-11,0,5
T045446,U02169,P00878,2,2024-11-23 00:42:00.521103,391.04,1,2024-11,0,5
T048624,U04034,P00671,5,2024-11-23 00:45:51.521103,80.04,3,2024-11,0,5
T043118,U04622,P00915,5,2024-11-23 00:47:59.521103,229.02,4,2024-11,0,5
T020030,U04503,P00493,5,2024-11-23 00:58:33.521103,237.06,2,2024-11,0,5
T001957,U01801,P00788,2,2024-11-23 01:00:13.521103,436.14,1,2024-11,1,5
T011953,U02323,P00144,2,2024-11-23 01:13:28.521103,414.35,2,2024-11,1,5
T019287,U00151,P00494,4,2024-11-23 01:28:48.521103,8.91,3,2024-11,1,5
T014844,U04802,P00424,4,2024-11-23 01:45:40.521103,266.88,1,2024-11,1,5
T022354,U04371,P00401,5,2024-11-23 02:12:35.521103,353.25,2,2024-11,2,5
T000394,U01476,P00898,2,2024-11-23 02:13:58.521103,18.28,1,2024-11,2,5
T016989,U04440,P00025,5,2024-11-23 02:30:20.521103,346.24,4,2024-11,2,5
T040630,U00779,P00939,4,2024-11-23 02:50:28.521103,300.2,2,2024-11,2,5
T028813,U00749,P00062,5,2024-11-23 02:54:28.521103,58.23,2,2024-11,2,5
T019497,U03984,P00289,5,2024-11-23 03:08:29.521103,141.26,3,2024-11,3,5
T047302,U04189,P00949,4,2024-11-23 03:22:19.521103,317.37,1,2024-11,3,5
T036198,U00390,P00919,3,2024-11-23 03:26:54.521103,120.92,4,2024-11,3,5
T015068,U02800,P00230,1,2024-11-23 03:27:50.521103,386.4,1,2024-11,3,5
T041838,U01148,P00452,5,2024-11-23 03:34:51.521103,202.89,3,2024-11,3,5
T027824,U00030,P00670,5,2024-11-23 03:57:29.521103,73.06,2,2024-11,3,5
T002770,U02854,P00554,2,2024-11-23 04:10:14.521103,106.56,3,2024-11,4,5
T024395,U01602,P00944,5,2024-11-23 04:19:24.521103,353.89,3,2024-11,4,5
T003789,U02172,P00441,3,2024-11-23 04:20:02.521103,414.25,4,2024-11,4,5
T006951,U04955,P00236,5,2024-11-23 04:26:57.521103,96.26,2,2024-11,4,5
T032436,U03615,P00370,4,2024-11-23 05:24:50.521103,404.54,3,2024-11,5,5
T034195,U01340,P00825,5,2024-11-23 05:30:05.521103,18.02,4,2024-11,5,5
T024121,U01541,P00804,5,2024-11-23 05:37:33.521103,158.54,3,2024-11,5,5
T040648,U04303,P00570,4,2024-11-23 05:42:57.521103,305.97,2,2024-11,5,5
T028987,U01097,P00571,4,2024-11-23 05:46:36.521103,93.23,2,2024-11,5,5
T040655,U00882,P00580,5,2024-11-23 06:09:21.521103,155.45,4,2024-11,6,5
T049437,U03379,P00070,4,2024-11-23 06:14:52.521103,429.68,3,2024-11,6,5
T038822,U02473,P00498,2,2024-11-23 06:35:06.521103,119.6,4,2024-11,6,5
T032965,U01191,P00163,5,2024-11-23 06:48:23.521103,390.29,4,2024-11,6,5
T045992,U00869,P00584,1,2024-11-23 07:01:09.521103,46.08,2,2024-11,7,5
T010182,U02488,P00882,5,2024-11-23 07:08:17.521103,36.41,3,2024-11,7,5
T008190,U02623,P00320,5,2024-11-23 07:16:34.521103,121.55,1,2024-11,7,5
T046907,U01901,P00565,4,2024-11-23 07:32:49.521103,339.49,3,2024-11,7,5
T024417,U01430,P00790,5,2024-11-23 07:41:08.521103,200.71,3,2024-11,7,5
T033473,U04474,P00176,5,2024-11-23 07:59:06.521103,266.78,2,2024-11,7,5
T046893,U01990,P00860,3,2024-11-23 08:10:23.521103,17.29,3,2024-11,8,5
T019896,U00106,P00314,5,2024-11-23 08:13:32.521103,157.58,4,2024-11,8,5
T031556,U03867,P00833,5,2024-11-23 08:36:12.521103,97.4,1,2024-11,8,5
T020356,U00553,P00886,4,2024-11-23 08:44:35.521103,28.3,1,2024-11,8,5
T032431,U03203,P00370,5,2024-11-23 08:58:15.521103,185.28,1,2024-11,8,5
T008096,U04207,P00482,3,2024-11-23 09:08:39.521103,258.78,2,2024-11,9,5
T047915,U01352,P00274,5,2024-11-23 10:08:14.521103,387.36,3,2024-11,10,5
T017844,U02121,P00649,4,2024-11-23 10:10:28.521103,118.97,4,2024-11,10,5
T018812,U00434,P00045,4,2024-11-23 10:22:34.521103,160.37,2,2024-11,10,5
T030322,U01466,P00971,3,2024-11-23 10:49:35.521103,362.69,3,2024-11,10,5
T017211,U04762,P00662,5,2024-11-23 10:50:21.521103,398.75,3,2024-11,10,5
T009060,U03443,P00242,5,2024-11-23 11:05:35.521103,369.62,4,2024-11,11,5
T023848,U04315,P00449,1,2024-11-23 11:09:08.521103,203.74,4,2024-11,11,5
T040827,U04330,P00782,4,2024-11-23 11:15:46.521103,460.97,1,2024-11,11,5
T038455,U04323,P00491,5,2024-11-23 11:24:07.521103,170.51,1,2024-11,11,5
T025021,U01485,P00772,4,2024-11-23 11:33:14.521103,158.19,1,2024-11,11,5
T031068,U03013,P00542,5,2024-11-23 11:56:17.521103,400.02,1,2024-11,11,5
T042211,U01617,P00313,4,2024-11-23 12:00:59.521103,344.89,1,2024-11,12,5
T031901,U00425,P00229,4,2024-11-23 12:05:38.521103,148.85,1,2024-11,12,5
T042370,U01063,P00438,3,2024-11-23 12:13:24.521103,422.22,2,2024-11,12,5
T030488,U02325,P00316,2,2024-11-23 12:18:52.521103,50.05,2,2024-11,12,5
T034238,U02686,P00337,4,2024-11-23 12:22:44.521103,105.48,4,2024-11,12,5
T021907,U04748,P00156,5,2024-11-23 12:42:39.521103,183.42,1,2024-11,12,5
T015984,U00414,P00762,2,2024-11-23 12:54:31.521103,227.5,1,2024-11,12,5
T036582,U00546,P00407,5,2024-11-23 13:06:28.521103,418.02,4,2024-11,13,5
T013898,U03123,P00779,4,2024-11-23 13:20:50.521103,141.6,2,2024-11,13,5
T027407,U04473,P00299,3,2024-11-23 13:42:34.521103,251.26,4,2024-11,13,5
T030165,U01434,P00987,5,2024-11-23 13:49:32.521103,292.74,3,2024-11,13,5
T025948,U04660,P00542,5,2024-11-23 13:55:22.521103,265.44,2,2024-11,13,5
T000688,U00011,P00037,5,2024-11-23 13:59:38.521103,159.62,2,2024-11,13,5
T044366,U00032,P00450,5,2024-11-23 14:14:40.521103,234.26,3,2024-11,14,5
T041402,U00248,P00152,4,2024-11-23 14:15:48.521103,430.24,1,2024-11,14,5
T021370,U03278,P00076,5,2024-11-23 14:19:56.521103,429.68,3,2024-11,14,5
T032370,U01164,P00071,5,2024-11-23 14:26:49.521103,106.22,4,2024-11,14,5
T035733,U04390,P00134,5,2024-11-23 14:27:25.521103,94.99,2,2024-11,14,5
T009232,U02965,P00794,5,2024-11-23 14:54:49.521103,37.17,1,2024-11,14,5
T036778,U01255,P00406,4,2024-11-23 15:02:35.521103,160.03,2,2024-11,15,5
T005428,U01464,P00587,3,2024-11-23 15:10:41.521103,487.31,1,2024-11,15,5
T038583,U00439,P00751,4,2024-11-23 15:21:20.521103,37.95,3,2024-11,15,5
T040915,U04789,P00998,5,2024-11-23 15:31:21.521103,243.38,2,2024-11,15,5
T032136,U00930,P00670,4,2024-11-23 15:43:52.521103,235.7,3,2024-11,15,5
T008825,U00087,P00083,5,2024-11-23 15:49:32.521103,156.49,4,2024-11,15,5
T049716,U01227,P00808,4,2024-11-23 16:33:11.521103,22.71,1,2024-11,16,5
T003748,U04182,P00754,1,2024-11-23 17:06:56.521103,386.98,1,2024-11,17,5
T003583,U01603,P00895,2,2024-11-23 17:10:17.521103,250.53,3,2024-11,17,5
T032450,U00951,P00103,4,2024-11-23 17:24:51.521103,435.82,1,2024-11,17,5
T020975,U02160,P00981,2,2024-11-23 17:26:41.521103,449.97,1,2024-11,17,5
T047943,U04036,P00314,2,2024-11-23 17:46:51.521103,403.79,2,2024-11,17,5
T015034,U01033,P00504,3,2024-11-23 17:49:02.521103,140.57,3,2024-11,17,5
T045084,U04785,P00303,4,2024-11-23 17:51:50.521103,229.49,3,2024-11,17,5
T026906,U01064,P00142,4,2024-11-23 17:56:52.521103,232.08,1,2024-11,17,5
T011745,U02774,P00972,4,2024-11-23 18:02:01.521103,218.75,1,2024-11,18,5
T032003,U03639,P00259,5,2024-11-23 18:09:28.521103,69.56,2,2024-11,18,5
T023718,U01670,P00178,5,2024-11-23 18:39:19.521103,498.79,4,2024-11,18,5
T032724,U00922,P00441,5,2024-11-23 18:42:58.521103,490.95,1,2024-11,18,5
T044387,U03928,P00330,5,2024-11-23 18:48:58.521103,24.31,2,2024-11,18,5
T017159,U01750,P00560,1,2024-11-23 19:10:09.521103,415.06,4,2024-11,19,5
T006153,U04803,P00007,5,2024-11-23 19:11:56.521103,416.54,3,2024-11,19,5
T031269,U04698,P00601,3,2024-11-23 19:32:54.521103,310.43,2,2024-11,19,5
T044628,U02929,P00370,5,2024-11-23 19:34:35.521103,419.61,3,2024-11,19,5
T018817,U02639,P00105,4,2024-11-23 19:40:17.521103,126.06,4,2024-11,19,5
T029949,U02744,P00337,4,2024-11-23 19:45:27.521103,188.28,2,2024-11,19,5
T033678,U04579,P00055,3,2024-11-23 19:54:31.521103,493.97,3,2024-11,19,5
T000938,U01929,P00987,4,2024-11-23 20:44:28.521103,398.84,1,2024-11,20,5
T030459,U02221,P00664,4,2024-11-23 21:08:05.521103,189.89,1,2024-11,21,5
T028688,U04470,P00510,5,2024-11-23 21:27:25.521103,282.41,2,2024-11,21,5
T018401,U03160,P00211,5,2024-11-23 21:31:41.521103,446.94,4,2024-11,21,5
T017863,U01368,P00053,4,2024-11-23 21:42:14.521103,365.5,3,2024-11,21,5
T029801,U00533,P00181,5,2024-11-23 21:51:40.521103,195.42,2,2024-11,21,5
T035403,U03463,P00230,3,2024-11-23 22:00:10.521103,395.4,2,2024-11,22,5
T044658,U02216,P00839,4,2024-11-23 22:11:47.521103,205.43,2,2024-11,22,5
T001108,U00101,P00031,4,2024-11-23 22:36:38.521103,162.15,2,2024-11,22,5
T030200,U04223,P00140,3,2024-11-23 22:46:36.521103,130.29,2,2024-11,22,5
T039200,U03288,P00509,4,2024-11-23 23:01:21.521103,483.63,2,2024-11,23,5
T003951,U04688,P00225,2,2024-11-23 23:07:00.521103,81.11,3,2024-11,23,5
T016350,U00962,P00815,5,2024-11-23 23:13:33.521103,40.57,1,2024-11,23,5
T030727,U04718,P00529,4,2024-11-23 23:20:17.521103,312.52,3,2024-11,23,5
T031568,U04442,P00527,1,2024-11-23 23:37:02.521103,241.27,3,2024-11,23,5
T002668,U03666,P00411,3,2024-11-23 23:37:15.521103,91.75,2,2024-11,23,5
T031203,U02582,P00448,2,2024-11-23 23:37:21.521103,242.35,3,2024-11,23,5
T035638,U02877,P00478,5,2024-11-24 00:15:43.521103,200.6,4,2024-11,0,6
T033196,U04954,P00512,4,2024-11-24 00:21:51.521103,413.53,4,2024-11,0,6
T040548,U04127,P00674,5,2024-11-24 00:33:46.521103,361.08,3,2024-11,0,6
T032692,U00790,P00324,5,2024-11-24 00:46:39.521103,304.12,2,2024-11,0,6
T048199,U03080,P00004,4,2024-11-24 00:47:29.521103,144.37,4,2024-11,0,6
T034039,U03415,P00504,2,2024-11-24 00:50:26.521103,305.69,1,2024-11,0,6
T000773,U03436,P00973,3,2024-11-24 00:51:15.521103,392.55,3,2024-11,0,6
T031481,U02437,P00134,5,2024-11-24 00:54:28.521103,62.6,4,2024-11,0,6
T038370,U02004,P00514,4,2024-11-24 00:58:07.521103,74.81,3,2024-11,0,6
T033572,U01815,P00259,1,2024-11-24 01:15:39.521103,312.46,2,2024-11,1,6
T006254,U00422,P00831,4,2024-11-24 01:18:26.521103,199.62,1,2024-11,1,6
T029213,U03300,P00429,4,2024-11-24 01:19:53.521103,106.3,3,2024-11,1,6
T042440,U04326,P00303,2,2024-11-24 01:21:14.521103,174.83,4,2024-11,1,6
T046687,U00953,P00760,2,2024-11-24 01:35:20.521103,464.36,1,2024-11,1,6
T023165,U03016,P00473,5,2024-11-24 01:42:49.521103,420.9,4,2024-11,1,6
T027031,U00222,P00546,4,2024-11-24 02:00:19.521103,253.08,2,2024-11,2,6
T031746,U01173,P00809,4,2024-11-24 02:05:20.521103,207.82,1,2024-11,2,6
