CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,Cluster,Cluster_Name
12391,21.0,1.0,460.89,460.89,300.0,92.0,0,At Risk
12393,71.0,4.0,1582.6000000000001,395.65000000000003,816.0,47.0,0,At Risk
12394,63.0,2.0,1272.48,636.24,819.0,26.0,0,At Risk
12395,18.0,12.0,3018.63,251.5525,2118.0,91.0,3,New Customers
12397,35.0,2.0,2409.9,1204.95,1263.0,110.0,3,New Customers
12398,45.0,1.0,1635.6599999999999,1635.6599999999999,1394.0,85.0,3,New Customers
12399,118.0,4.0,1108.65,277.1625,1178.0,47.0,0,At Risk
12401,302.0,1.0,84.3,84.3,11.0,5.0,2,Potential Loyalists
12402,322.0,1.0,225.6,225.6,94.0,11.0,2,Potential Loyalists
12403,49.0,1.0,427.7,427.7,96.0,5.0,0,At Risk
12405,148.0,1.0,1710.39,1710.39,857.0,54.0,3,New Customers
12406,21.0,2.0,3415.3,1707.65,1818.0,92.0,3,New Customers
12407,49.0,5.0,1708.1200000000001,341.624,1416.0,57.0,0,At Risk
12408,32.0,5.0,2888.55,577.71,1409.0,81.0,3,New Customers
12409,78.0,3.0,11072.67,2031.1612000000005,5551.0,91.0,1,Champions
12410,308.0,2.0,693.3299999999999,346.66499999999996,211.0,26.0,2,Potential Loyalists
12412,74.0,3.0,1226.88,408.96000000000004,829.0,43.0,0,At Risk
12413,66.0,3.0,758.1,252.70000000000002,286.0,29.0,0,At Risk
12414,216.0,3.0,562.41,187.47,300.0,16.0,2,Potential Loyalists
12415,23.0,21.0,19880.99570000001,2031.1612000000005,11046.580000000007,354.0,1,Champions
12417,2.0,9.0,3649.1,405.4555555555555,1552.0,158.0,3,New Customers
12418,112.0,1.0,668.58,668.58,407.0,34.0,0,At Risk
12420,63.0,1.0,600.39,600.39,345.0,29.0,0,At Risk
12421,15.0,4.0,807.04,201.76,484.0,32.0,0,At Risk
12422,95.0,3.0,803.5600000000001,267.85333333333335,370.0,39.0,0,At Risk
12423,0.0,8.0,1859.31,232.41375,1339.0,97.0,3,New Customers
12424,162.0,2.0,1760.96,880.48,740.0,30.0,2,Potential Loyalists
12425,77.0,1.0,777.2,777.2,496.0,36.0,0,At Risk
12426,194.0,1.0,582.73,582.73,258.0,30.0,2,Potential Loyalists
12427,21.0,3.0,825.8,275.26666666666665,533.0,26.0,0,At Risk
12428,25.0,9.0,7956.46,884.0511111111111,3536.0,258.0,3,New Customers
12429,8.0,4.0,3750.4,937.6,1557.0,82.0,3,New Customers
12430,42.0,1.0,256.4,256.4,117.0,11.0,0,At Risk
12431,35.0,15.0,6487.45,432.49666666666667,2906.0,163.0,3,New Customers
12432,42.0,5.0,5059.32,1011.8639999999999,1801.0,107.0,3,New Customers
12433,0.0,7.0,13375.87,1910.8385714285716,11046.580000000007,219.0,1,Champions
12434,84.0,2.0,806.14,403.07,394.0,46.0,0,At Risk
12435,79.0,2.0,7829.89,2031.1612000000005,2055.0,31.0,3,New Customers
12436,99.0,1.0,509.01,509.01,211.0,16.0,0,At Risk
12437,1.0,18.0,4951.41,275.0783333333333,2922.0,118.0,3,New Customers
12438,13.0,2.0,2906.85,1453.425,1180.0,84.0,3,New Customers
12441,366.0,1.0,173.55,173.55,121.0,11.0,2,Potential Loyalists
12442,2.0,1.0,172.06,172.06,182.0,12.0,0,At Risk
12444,20.0,5.0,5005.46,1001.092,1153.0,138.0,3,New Customers
12445,21.0,1.0,133.4,133.4,62.0,4.0,0,At Risk
12446,57.0,1.0,1002.3100000000001,1002.3100000000001,351.0,57.0,0,At Risk
12447,242.0,1.0,476.49,476.49,190.0,26.0,2,Potential Loyalists
12448,43.0,1.0,449.45,449.45,243.0,22.0,0,At Risk
12449,21.0,4.0,4067.29,1016.8225,1553.0,118.0,3,New Customers
12450,155.0,2.0,197.88,98.94,128.0,7.0,2,Potential Loyalists
12451,10.0,5.0,9035.52,1807.104,6575.0,265.0,1,Champions
12452,16.0,2.0,430.57,215.285,185.0,21.0,0,At Risk
12453,133.0,1.0,707.09,707.09,473.0,43.0,0,At Risk
12454,55.0,1.0,3528.34,2031.1612000000005,1006.0,15.0,3,New Customers
12455,72.0,6.0,2466.86,411.1433333333334,2089.0,85.0,3,New Customers
12456,43.0,3.0,3181.04,1060.3466666666666,1633.0,105.0,3,New Customers
12457,65.0,7.0,2363.23,337.6042857142857,843.0,53.0,0,At Risk
12458,70.0,2.0,947.4,473.7,506.0,35.0,0,At Risk
12461,93.0,2.0,826.88,413.44,287.0,35.0,0,At Risk
12462,18.0,2.0,1189.59,594.795,536.0,51.0,0,At Risk
12463,52.0,4.0,1344.78,336.195,776.0,65.0,0,At Risk
12464,9.0,8.0,1212.05,151.50625,112.0,6.0,0,At Risk
12465,16.0,2.0,742.1899999999999,371.09499999999997,479.0,46.0,0,At Risk
12468,187.0,2.0,729.5400000000001,364.77000000000004,366.0,36.0,2,Potential Loyalists
12471,1.0,30.0,19824.05,660.8016666666666,8212.0,150.0,1,Champions
12472,31.0,7.0,6572.11,938.8728571428571,4148.0,219.0,3,New Customers
12473,28.0,5.0,3938.5499999999997,787.7099999999999,2439.0,140.0,3,New Customers
12474,16.0,18.0,7375.79,409.7661111111111,4847.0,253.0,3,New Customers
12475,53.0,1.0,723.38,723.38,535.0,36.0,0,At Risk
12476,15.0,11.0,6816.42,619.6745454545454,2408.0,177.0,3,New Customers
12477,22.0,6.0,13219.74,2031.1612000000005,3653.0,191.0,1,Champions
12478,3.0,1.0,680.99,680.99,236.0,36.0,0,At Risk
12479,10.0,1.0,527.2,527.2,385.0,31.0,0,At Risk
12480,27.0,4.0,3281.63,820.4075,1707.0,129.0,3,New Customers
12481,22.0,10.0,5596.32,559.632,3304.0,150.0,3,New Customers
12483,16.0,8.0,2484.98,310.6225,1110.0,46.0,0,At Risk
12484,32.0,6.0,4541.72,756.9533333333334,2191.0,256.0,3,New Customers
12488,9.0,3.0,1298.66,432.8866666666667,529.0,46.0,0,At Risk
12489,335.0,1.0,334.93,334.93,105.0,15.0,2,Potential Loyalists
12490,4.0,10.0,5417.93,541.793,3064.0,131.0,3,New Customers
12491,38.0,1.0,460.40000000000003,460.40000000000003,260.0,25.0,0,At Risk
12492,62.0,2.0,263.21000000000004,131.60500000000002,192.0,19.0,0,At Risk
12493,165.0,2.0,433.74,216.87,207.0,20.0,2,Potential Loyalists
12494,15.0,7.0,1246.1000000000001,178.01428571428573,707.0,63.0,0,At Risk
12497,81.0,1.0,1043.1,1043.1,1236.0,14.0,0,At Risk
12498,20.0,3.0,403.70000000000005,134.5666666666667,159.0,21.0,0,At Risk
12500,22.0,11.0,4257.82,387.07454545454544,2678.0,34.0,3,New Customers
12501,336.0,1.0,2169.39,2031.1612000000005,1783.0,149.0,3,New Customers
12502,95.0,5.0,3723.87,744.774,820.0,102.0,3,New Customers
12504,17.0,2.0,482.04999999999995,241.02499999999998,90.0,6.0,0,At Risk
12506,232.0,1.0,73.5,73.5,23.0,23.0,2,Potential Loyalists
12507,133.0,3.0,1304.81,434.93666666666667,894.0,19.0,0,At Risk
12508,25.0,2.0,398.27,199.135,272.0,57.0,0,At Risk
12509,283.0,1.0,176.5,176.5,55.0,7.0,2,Potential Loyalists
12510,142.0,2.0,982.5699999999999,491.28499999999997,353.0,29.0,0,At Risk
12512,65.0,2.0,138.03,69.015,99.0,31.0,0,At Risk
12513,112.0,1.0,612.29,612.29,462.0,35.0,0,At Risk
12514,266.0,1.0,1017.68,1017.68,440.0,51.0,2,Potential Loyalists
12515,352.0,1.0,383.7,383.7,131.0,16.0,2,Potential Loyalists
12516,77.0,2.0,1312.06,656.03,875.0,20.0,0,At Risk
12517,27.0,5.0,2502.84,500.56800000000004,1371.0,232.0,3,New Customers
12518,0.0,5.0,2056.89,411.378,1318.0,84.0,0,At Risk
12519,63.0,1.0,340.84,340.84,183.0,17.0,0,At Risk
12520,78.0,5.0,2634.26,526.8520000000001,1439.0,121.0,3,New Customers
12521,142.0,1.0,599.68,599.68,309.0,38.0,0,At Risk
12522,38.0,2.0,192.72,96.36,194.0,11.0,0,At Risk
12523,18.0,11.0,1789.77,162.70636363636365,865.0,84.0,0,At Risk
12524,8.0,8.0,4485.72,560.715,3699.0,113.0,3,New Customers
12526,0.0,3.0,1316.66,438.8866666666667,632.0,64.0,0,At Risk
12527,81.0,3.0,348.71000000000004,116.23666666666668,234.0,18.0,0,At Risk
12528,8.0,6.0,1933.48,322.24666666666667,756.0,50.0,0,At Risk
12530,59.0,4.0,1662.28,415.57,913.0,51.0,0,At Risk
12531,14.0,1.0,125.22,125.22,45.0,17.0,0,At Risk
12532,29.0,1.0,349.83000000000004,349.83000000000004,153.0,16.0,0,At Risk
12534,130.0,1.0,1089.18,1089.18,651.0,63.0,0,At Risk
12535,91.0,2.0,716.35,358.175,219.0,28.0,0,At Risk
12536,42.0,3.0,12601.830000000002,2031.1612000000005,2803.0,260.0,1,Champions
12538,28.0,1.0,363.95,363.95,191.0,21.0,0,At Risk
12539,21.0,4.0,5568.35,1392.0875,2067.0,157.0,3,New Customers
12540,19.0,17.0,13400.24,788.2494117647059,6685.0,277.0,1,Champions
12541,29.0,3.0,981.18,327.06,680.0,46.0,0,At Risk
12544,35.0,1.0,372.7,372.7,136.0,19.0,0,At Risk
12545,74.0,2.0,1000.39,500.195,523.0,42.0,0,At Risk
12546,46.0,2.0,1161.5,580.75,633.0,59.0,0,At Risk
12547,197.0,2.0,207.79999999999998,103.89999999999999,134.0,7.0,2,Potential Loyalists
12548,165.0,1.0,95.19999999999999,95.19999999999999,49.0,5.0,2,Potential Loyalists
12550,78.0,1.0,964.83,964.83,569.0,57.0,0,At Risk
12551,357.0,1.0,168.0,168.0,100.0,10.0,2,Potential Loyalists
12552,38.0,2.0,437.82,218.91,88.0,20.0,0,At Risk
12553,7.0,10.0,3692.28,369.228,1965.0,95.0,3,New Customers
12556,49.0,2.0,603.71,301.855,358.0,100.0,0,At Risk
12557,15.0,5.0,11990.960000000001,2031.1612000000005,4384.0,15.0,1,Champions
12558,7.0,1.0,269.96,269.96,196.0,11.0,0,At Risk
12559,310.0,2.0,561.71,280.855,283.0,21.0,2,Potential Loyalists
12560,4.0,3.0,2134.01,711.3366666666667,1110.0,91.0,0,At Risk
12561,302.0,1.0,238.85,238.85,177.0,16.0,2,Potential Loyalists
12562,7.0,7.0,3781.7400000000002,540.2485714285715,1779.0,99.0,3,New Customers
12564,260.0,1.0,456.9,456.9,133.0,21.0,2,Potential Loyalists
12565,288.0,1.0,145.92,145.92,80.0,9.0,2,Potential Loyalists
12566,85.0,1.0,351.65,351.65,265.0,19.0,0,At Risk
12567,22.0,10.0,9401.28,940.128,4305.0,323.0,3,New Customers
12569,1.0,30.0,4124.69,128.8965625,1801.0,92.0,3,New Customers
12571,39.0,2.0,519.61,259.805,523.0,31.0,0,At Risk
12572,8.0,2.0,1020.42,510.21,452.0,53.0,0,At Risk
12573,226.0,1.0,160.54000000000002,160.54000000000002,84.0,26.0,2,Potential Loyalists
12574,315.0,1.0,218.45,218.45,61.0,11.0,2,Potential Loyalists
12576,35.0,5.0,1315.83,263.166,967.0,72.0,0,At Risk
12577,34.0,3.0,657.8,219.26666666666665,472.0,137.0,0,At Risk
12578,20.0,2.0,2794.51,1397.255,1196.0,111.0,3,New Customers
12579,77.0,1.0,440.42,440.42,285.0,29.0,0,At Risk
12580,246.0,1.0,415.7,415.7,238.0,24.0,2,Potential Loyalists
12581,39.0,1.0,197.71,197.71,161.0,15.0,0,At Risk
12582,238.0,2.0,511.36,255.68,300.0,21.0,2,Potential Loyalists
12583,2.0,15.0,7281.38,485.42533333333336,5060.0,115.0,3,New Customers
12584,3.0,9.0,2338.15,259.7944444444445,416.0,44.0,0,At Risk
12585,233.0,2.0,2040.1,1020.05,1279.0,77.0,2,Potential Loyalists
12586,16.0,1.0,196.94000000000003,196.94000000000003,79.0,11.0,0,At Risk
12587,7.0,1.0,144.0,144.0,51.0,4.0,0,At Risk
12588,38.0,1.0,214.89999999999998,214.89999999999998,53.0,10.0,0,At Risk
12589,28.0,2.0,646.68,323.34,306.0,29.0,0,At Risk
12590,210.0,2.0,9864.26,2031.1612000000005,4283.0,68.0,3,New Customers
12591,316.0,1.0,452.84999999999997,452.84999999999997,228.0,26.0,2,Potential Loyalists
12592,91.0,2.0,437.6,218.8,290.0,11.0,0,At Risk
12593,108.0,3.0,418.09999999999997,139.36666666666665,206.0,14.0,0,At Risk
12594,37.0,10.0,3338.2200000000003,333.822,1777.0,50.0,3,New Customers
12596,50.0,2.0,618.27,309.135,474.0,25.0,0,At Risk
12597,18.0,4.0,3811.22,952.805,2236.0,184.0,3,New Customers
12598,9.0,8.0,3023.08,377.885,1964.0,84.0,3,New Customers
12599,28.0,7.0,1032.58,147.51142857142855,956.0,32.0,0,At Risk
12600,28.0,10.0,2599.04,259.904,774.0,32.0,0,At Risk
12601,189.0,5.0,577.0600000000001,115.412,245.0,21.0,2,Potential Loyalists
12602,58.0,1.0,153.12,153.12,162.0,12.0,0,At Risk
12603,21.0,1.0,739.1999999999999,739.1999999999999,63.0,2.0,0,At Risk
12604,78.0,2.0,254.18,127.09,201.0,15.0,0,At Risk
12607,59.0,1.0,1579.51,1579.51,1228.0,101.0,3,New Customers
12609,77.0,3.0,1126.85,375.6166666666666,648.0,57.0,0,At Risk
12610,22.0,5.0,2099.54,419.908,1049.0,85.0,0,At Risk
12611,51.0,1.0,1193.32,1193.32,846.0,65.0,0,At Risk
12612,73.0,1.0,704.0400000000001,704.0400000000001,262.0,19.0,0,At Risk
12613,56.0,5.0,3344.38,668.876,1644.0,124.0,3,New Customers
12614,277.0,1.0,315.6,315.6,76.0,20.0,2,Potential Loyalists
12615,1.0,4.0,2291.19,572.7975,1376.0,82.0,0,At Risk
12616,94.0,2.0,713.3,356.65,284.0,25.0,0,At Risk
12617,28.0,1.0,355.53,355.53,213.0,39.0,0,At Risk
12618,21.0,1.0,177.31,177.31,96.0,11.0,0,At Risk
12619,15.0,9.0,3641.24,404.5822222222222,3378.0,50.0,3,New Customers
12620,14.0,3.0,1339.41,446.47,1181.0,89.0,0,At Risk
12621,1.0,20.0,13689.67,684.4835,7440.0,261.0,1,Champions
12622,231.0,1.0,180.1,180.1,69.0,11.0,2,Potential Loyalists
12623,275.0,1.0,305.1,305.1,191.0,18.0,2,Potential Loyalists
12624,105.0,2.0,641.13,320.565,355.0,36.0,0,At Risk
12625,211.0,2.0,2683.82,1341.91,1612.0,73.0,3,New Customers
12626,22.0,9.0,6620.48,735.6088888888888,3453.0,232.0,3,New Customers
12627,10.0,7.0,4478.53,639.79,2752.0,162.0,3,New Customers
12628,3.0,3.0,786.46,262.15333333333336,448.0,34.0,0,At Risk
12630,9.0,2.0,1270.88,635.44,548.0,60.0,0,At Risk
12631,56.0,1.0,640.5,640.5,236.0,31.0,0,At Risk
12633,58.0,4.0,2163.98,540.995,1162.0,73.0,0,At Risk
12635,89.0,2.0,1689.18,844.59,1172.0,96.0,0,At Risk
12637,66.0,8.0,6021.9,752.7375,3002.0,205.0,3,New Customers
12638,32.0,1.0,671.69,671.69,577.0,39.0,0,At Risk
12639,238.0,1.0,486.1,486.1,201.0,22.0,2,Potential Loyalists
12640,23.0,3.0,1174.58,391.52666666666664,311.0,47.0,0,At Risk
12641,114.0,1.0,185.9,185.9,72.0,10.0,0,At Risk
12642,24.0,3.0,1013.26,337.75333333333333,552.0,39.0,0,At Risk
12643,127.0,6.0,3344.64,557.4399999999999,1808.0,11.0,0,At Risk
12644,129.0,1.0,477.91,477.91,325.0,31.0,0,At Risk
12645,33.0,4.0,1775.18,443.795,1084.0,58.0,0,At Risk
12646,4.0,2.0,1346.97,673.485,897.0,43.0,0,At Risk
12647,21.0,12.0,3722.82,310.235,1431.0,78.0,3,New Customers
12648,154.0,1.0,318.05,318.05,160.0,21.0,2,Potential Loyalists
12649,106.0,3.0,623.51,207.83666666666667,586.0,28.0,0,At Risk
12650,2.0,1.0,314.44,314.44,254.0,20.0,0,At Risk
12651,334.0,1.0,114.0,114.0,78.0,9.0,2,Potential Loyalists
12652,330.0,1.0,919.98,919.98,505.0,48.0,2,Potential Loyalists
12653,148.0,2.0,2209.85,1104.925,919.0,37.0,0,At Risk
12654,10.0,5.0,601.98,120.396,264.0,31.0,0,At Risk
12656,16.0,5.0,4051.17,810.234,1723.0,89.0,3,New Customers
12657,10.0,4.0,1643.18,410.795,1044.0,35.0,0,At Risk
12658,18.0,1.0,686.05,686.05,320.0,36.0,0,At Risk
12659,29.0,1.0,91.68,91.68,105.0,5.0,0,At Risk
12660,10.0,1.0,245.1,245.1,127.0,13.0,0,At Risk
12662,0.0,11.0,3849.78,349.98,2058.0,129.0,3,New Customers
12664,7.0,9.0,4881.88,542.4311111111111,1203.0,10.0,0,At Risk
12665,324.0,1.0,63.0,63.0,37.0,3.0,2,Potential Loyalists
12667,57.0,1.0,620.13,620.13,395.0,33.0,0,At Risk
12668,11.0,4.0,3807.15,951.7875,1634.0,115.0,3,New Customers
12669,150.0,3.0,2744.0299999999997,914.6766666666666,1115.0,98.0,3,New Customers
12670,9.0,5.0,2996.05,599.21,1397.0,58.0,0,At Risk
12672,329.0,1.0,225.89999999999998,225.89999999999998,78.0,10.0,2,Potential Loyalists
12673,4.0,2.0,610.52,305.26,351.0,42.0,0,At Risk
12674,38.0,4.0,1970.6,492.65,1133.0,52.0,0,At Risk
12676,24.0,6.0,1331.39,221.89833333333334,670.0,33.0,0,At Risk
12678,41.0,12.0,17628.46,1469.0383333333332,10923.0,105.0,1,Champions
12679,58.0,4.0,1113.02,278.255,554.0,43.0,0,At Risk
12680,0.0,4.0,862.81,215.7025,443.0,33.0,0,At Risk
12681,14.0,22.0,13787.54,626.7063636363637,7536.0,267.0,1,Champions
12682,3.0,30.0,12288.22,396.3941935483871,5575.0,209.0,1,Champions
12683,3.0,15.0,8476.57,565.1046666666666,4987.0,177.0,3,New Customers
12684,7.0,7.0,2283.63,326.23285714285714,1985.0,61.0,0,At Risk
12685,27.0,6.0,2863.08,477.18,1523.0,117.0,3,New Customers
12686,368.0,1.0,89.14,89.14,107.0,7.0,2,Potential Loyalists
12688,113.0,1.0,4873.8099999999995,2031.1612000000005,3028.0,171.0,3,New Customers
12689,25.0,2.0,1247.61,623.805,628.0,57.0,0,At Risk
12690,205.0,1.0,389.01,389.01,106.0,16.0,2,Potential Loyalists
12691,27.0,6.0,1035.8,172.63333333333333,394.0,21.0,0,At Risk
12693,126.0,4.0,855.91,213.9775,255.0,35.0,0,At Risk
12694,69.0,2.0,869.67,434.835,509.0,32.0,0,At Risk
12695,6.0,4.0,582.1,145.525,220.0,23.0,0,At Risk
12697,28.0,3.0,957.59,319.19666666666666,508.0,37.0,0,At Risk
12700,7.0,4.0,4939.99,1234.9975,2967.0,193.0,3,New Customers
12701,79.0,2.0,797.71,398.855,678.0,50.0,0,At Risk
12702,19.0,1.0,219.0,219.0,53.0,12.0,0,At Risk
12703,70.0,1.0,283.55,283.55,164.0,21.0,0,At Risk
12704,6.0,8.0,2340.84,292.605,1006.0,64.0,0,At Risk
12705,14.0,9.0,6868.29,763.1433333333333,3997.0,228.0,3,New Customers
12707,291.0,1.0,603.42,603.42,256.0,33.0,2,Potential Loyalists
12708,29.0,10.0,2712.91,271.291,1307.0,86.0,3,New Customers
12709,14.0,15.0,9736.52,649.1013333333334,3936.0,93.0,3,New Customers
12710,96.0,3.0,1149.02,383.00666666666666,851.0,75.0,0,At Risk
12712,28.0,13.0,4396.13,338.1638461538462,1062.0,58.0,3,New Customers
12713,0.0,1.0,848.55,848.55,508.0,38.0,0,At Risk
12714,8.0,5.0,4708.86,941.7719999999999,3069.0,216.0,3,New Customers
12715,105.0,1.0,353.86,353.86,197.0,20.0,0,At Risk
12716,3.0,2.0,1053.49,526.745,708.0,60.0,0,At Risk
12717,150.0,2.0,1030.98,515.49,506.0,49.0,0,At Risk
12718,70.0,1.0,238.25,238.25,203.0,19.0,0,At Risk
12719,4.0,2.0,644.95,322.475,374.0,34.0,0,At Risk
12720,2.0,25.0,5781.73,231.26919999999998,4672.0,211.0,3,New Customers
12721,31.0,6.0,2656.13,442.68833333333333,1959.0,133.0,3,New Customers
12722,84.0,4.0,997.63,249.4075,566.0,50.0,0,At Risk
12723,3.0,5.0,725.07,145.014,434.0,53.0,0,At Risk
12724,4.0,4.0,1031.41,257.8525,445.0,47.0,0,At Risk
12725,368.0,1.0,427.8,427.8,164.0,24.0,2,Potential Loyalists
12726,27.0,7.0,2609.1,372.7285714285714,3143.0,57.0,3,New Customers
12727,10.0,7.0,3980.7,568.6714285714286,2098.0,109.0,3,New Customers
12728,70.0,4.0,836.33,209.0825,419.0,38.0,0,At Risk
12729,113.0,1.0,453.01,453.01,233.0,26.0,0,At Risk
12731,23.0,12.0,18895.91,1574.6591666666666,8437.0,109.0,1,Champions
12732,179.0,1.0,236.26000000000002,236.26000000000002,111.0,12.0,2,Potential Loyalists
12733,233.0,1.0,383.95,383.95,137.0,22.0,2,Potential Loyalists
12734,352.0,1.0,110.39999999999999,110.39999999999999,88.0,4.0,2,Potential Loyalists
12735,314.0,2.0,779.5699999999999,389.78499999999997,368.0,38.0,2,Potential Loyalists
12736,332.0,1.0,234.0,234.0,173.0,4.0,2,Potential Loyalists
12738,368.0,1.0,155.35,155.35,148.0,11.0,2,Potential Loyalists
12739,77.0,2.0,1013.04,506.52,486.0,38.0,0,At Risk
12740,63.0,1.0,427.6,427.6,342.0,27.0,0,At Risk
12743,133.0,2.0,546.43,273.215,319.0,114.0,0,At Risk
12744,51.0,7.0,19880.99570000001,2031.1612000000005,5241.0,178.0,1,Champions
12747,1.0,11.0,4196.01,381.4554545454546,1275.0,42.0,3,New Customers
12748,0.0,30.0,19880.99570000001,161.3384210526316,11046.580000000007,354.0,1,Champions
12749,3.0,5.0,4090.88,818.176,1471.0,160.0,3,New Customers
12750,128.0,1.0,275.88,275.88,137.0,15.0,0,At Risk
12752,80.0,1.0,4366.78,2031.1612000000005,2262.0,53.0,3,New Customers
12753,22.0,6.0,19880.99570000001,2031.1612000000005,11046.580000000007,132.0,1,Champions
12754,235.0,3.0,3010.74,1003.5799999999999,6481.0,49.0,3,New Customers
12755,280.0,2.0,3811.95,1905.975,1491.0,4.0,2,Potential Loyalists
12756,86.0,1.0,112.07999999999998,112.07999999999998,144.0,4.0,0,At Risk
12757,15.0,13.0,7857.1,604.3923076923077,2402.0,237.0,3,New Customers
12758,116.0,2.0,2791.59,1395.795,2135.0,84.0,3,New Customers
12759,51.0,3.0,1531.44,510.48,902.0,81.0,0,At Risk
12762,7.0,2.0,1898.52,949.26,1227.0,62.0,0,At Risk
12763,137.0,2.0,494.08,247.04,316.0,16.0,0,At Risk
12764,316.0,1.0,1693.88,1693.88,386.0,45.0,2,Potential Loyalists
12766,3.0,7.0,6989.63,998.5185714285715,3646.0,205.0,3,New Customers
12769,238.0,1.0,1143.6,1143.6,356.0,32.0,2,Potential Loyalists
12770,210.0,1.0,1351.45,1351.45,743.0,12.0,2,Potential Loyalists
12772,59.0,1.0,892.47,892.47,556.0,55.0,0,At Risk
12775,16.0,5.0,1386.04,277.20799999999997,877.0,47.0,0,At Risk
12778,19.0,6.0,822.23,137.03833333333333,825.0,40.0,0,At Risk
12779,37.0,8.0,3981.36,497.67,2024.0,88.0,3,New Customers
12781,63.0,2.0,826.74,413.37,671.0,25.0,0,At Risk
12782,4.0,5.0,2330.92,466.184,1086.0,81.0,0,At Risk
12783,1.0,6.0,2225.91,370.98499999999996,624.0,76.0,0,At Risk
12784,8.0,2.0,574.42,287.21,300.0,54.0,0,At Risk
12785,363.0,1.0,311.95,311.95,131.0,14.0,2,Potential Loyalists
12787,9.0,3.0,463.66,154.55333333333334,261.0,17.0,0,At Risk
12789,64.0,1.0,91.85,91.85,4.0,4.0,0,At Risk
12790,191.0,1.0,324.92,324.92,166.0,21.0,2,Potential Loyalists
12791,368.0,1.0,192.60000000000002,192.60000000000002,97.0,2.0,2,Potential Loyalists
12792,256.0,1.0,400.53999999999996,400.53999999999996,217.0,25.0,2,Potential Loyalists
12793,334.0,2.0,545.48,272.74,295.0,21.0,2,Potential Loyalists
12794,52.0,2.0,860.41,430.205,592.0,43.0,0,At Risk
12795,18.0,1.0,430.48,430.48,68.0,14.0,0,At Risk
12797,365.0,1.0,254.03,254.03,118.0,13.0,2,Potential Loyalists
12798,9.0,3.0,6977.04,2031.1612000000005,5256.0,6.0,3,New Customers
12802,186.0,1.0,427.58,427.58,314.0,25.0,2,Potential Loyalists
12808,36.0,3.0,483.65000000000003,161.21666666666667,188.0,27.0,0,At Risk
12809,177.0,1.0,489.31,489.31,220.0,25.0,2,Potential Loyalists
12811,260.0,3.0,514.85,171.61666666666667,230.0,27.0,2,Potential Loyalists
12812,44.0,1.0,229.64000000000001,229.64000000000001,164.0,15.0,0,At Risk
12814,101.0,1.0,125.92,125.92,49.0,2.0,0,At Risk
